t,input_ruxolitinib,nSOCS3RNA4_Obs
15,0,0.0116998094299131
15,10,0.0161340141790737
15,50,0.0157100934591967
15,100,0.0129680350595946
15,200,0.0134206159287316
15,400,0.0132884959295316
15,500,0.0108172750360321
15,500,0.0121009084121943
15,500,0.0155145954521372
15,500,0.0114569228128027
15,600,0.0115063607465941
15,800,0.0155126997392325
15,1000,0.0173025390981436
15,2000,0.00978439439072899
15,2000,0.0118207826575668
15,5000,0.0144911590562934
15,5000,0.0110287881597978
15,5000,0.00824617773549488
15,5000,0.0097083353539587
