t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
2000,0.1,0.00402403857687137,0.000581911085572843
2000,0.1,0.00372847093644457,0.000560171499635586
2000,0.5,0.00577322722904547,0.000782673175789423
2000,0.5,0.00496360844446848,0.000957551288481736
2000,1,0.0064756005700543,0.00084337552892394
2000,1,0.00517431092554705,0.000957009088714877
2000,2.5,0.0158057986073768,0.00397627607497656
2000,2.5,0.014278551126205,0.00294140521908352
2000,5,0.0310308780131727,0.0063786137784742
2000,5,0.0500794365724998,0.00682273236697894
2000,10,0.0105119952669299,0.00201430561360901
2000,10,0.00717880417125623,0.0014321039888891
2000,25,0.0240541756660499,0.0061823772937574
2000,25,0.0191563337336884,0.00603263122887783
2000,50,0.0154675024391419,0.00259386948794362
2000,50,0.0102549654941817,0.00294062442912253
2000,100,0.0344960448666292,0.00535349870415618
2000,100,0.0382519236503794,0.0072828594866438
2000,500,0.0728755118230655,0.00992824969037107
2000,500,0.0480024439761151,0.00838247948885197
