t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.00108379192546878,8.29355815161709,0.0123571626310931,0.0159427842738641
4,NaN,NaN,NaN,0.0148756701256639
5,NaN,NaN,0.013680640364033,NaN
8,NaN,NaN,NaN,0.0119077570567244
9.5,NaN,NaN,0.00542171238441484,NaN
10,NaN,NaN,NaN,0.0160516585726198
15,NaN,19.4124966132948,0.00542992049855103,0.00725012353743963
20,0.0667487679350853,NaN,0.00139299320363312,0.00315931675717829
25,NaN,NaN,0.000538378516700788,NaN
30,NaN,NaN,NaN,0.00140412103024453
35,NaN,25.7764100789771,0.00013253620290548,0.000381182740813236
40,NaN,NaN,5.83304515035008e-05,0.000210446807281854
45,0.0355485960616501,NaN,NaN,NaN
50,NaN,15.7802813430269,1.42602965939105e-05,3.35954742535813e-05
60,NaN,NaN,NaN,4.1567743136029e-06
65,NaN,NaN,9.02088375957784e-06,NaN
70,0.0508207391860978,16.2154749041765,NaN,4.3994478145222e-07
75,NaN,NaN,1.11361418750551e-05,NaN
90,NaN,14.4802582537314,NaN,NaN
95,0.0328449582721732,NaN,NaN,NaN
100,0.0407223125456657,16.0337597791005,NaN,NaN
150,0.0414104562743565,19.8700966998539,NaN,NaN
200,0.0389762642954436,19.5576599778837,NaN,NaN
250,0.0293525101782041,18.1190464883337,NaN,NaN
300,0.0283121876431227,18.3953970538574,NaN,NaN
350,0.0225384042892577,14.7220328992119,NaN,NaN
400,0.0254765298701971,NaN,NaN,NaN
450,NaN,17.973847605532,NaN,NaN
