t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000779319972986727,6.60259385671101,0.011027731265097,0.0162046581768214,0.0135066147029476,0.106969053375767
8.5,NaN,NaN,NaN,NaN,NaN,0.179062946068114
9,NaN,NaN,NaN,0.0630585281048805,NaN,NaN
9.5,NaN,16.4687851509712,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.032496642468528,NaN
15,0.052645379152952,NaN,0.676743356612444,NaN,NaN,NaN
20,NaN,12.4250404476332,NaN,0.696296040937454,0.547890878233242,1.45023646638867
25,NaN,NaN,0.874755288510859,NaN,NaN,NaN
30,0.0323500154861477,12.9468952249959,NaN,0.846899167106836,0.553216499229536,3.13744320621483
40,NaN,13.405746368185,0.644518790100917,0.731609493726495,NaN,5.9092589318092
45,0.0114906102158205,NaN,NaN,NaN,0.610804542267338,NaN
50,NaN,NaN,NaN,NaN,NaN,6.04924620506032
55,NaN,8.5594298746666,0.111387151201063,0.199437898078358,0.297414706165188,NaN
60,0.00646473530629794,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,2.10853517216606
70,NaN,7.1573944166912,NaN,0.0449521324063025,0.0897709371732114,NaN
75,NaN,NaN,0.0149904505412007,NaN,NaN,NaN
80,0.00701243167560602,NaN,NaN,NaN,NaN,0.797398415263929
90,NaN,9.12776795205566,NaN,0.0962393189750444,0.072441566611414,NaN
100,0.0151910702355021,17.600642551284,0.232472342547052,0.21242634937706,0.131721403852001,0.741752036826939
150,0.00733152423943197,10.8080320446397,0.120297311139356,NaN,0.0797709883823992,NaN
200,0.0101049647868638,NaN,NaN,NaN,NaN,NaN
