t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000880701669744719,6.91044466153196,0.0133004475527404,0.0162376985508889
9.5,NaN,NaN,0.271585926930814,NaN
10,0.0558729587603043,NaN,NaN,0.0939644968624601
15,NaN,21.068740949125,NaN,NaN
20,NaN,NaN,0.93920715172262,NaN
25,0.000875411877997875,NaN,NaN,0.888260434024928
30,NaN,12.8020941706467,0.789256002828403,NaN
35,NaN,NaN,NaN,0.623319331533975
40,0.000183097048118414,NaN,0.336923850542692,NaN
50,NaN,6.25596049161973,NaN,0.206081412065638
55,7.9899062281762e-05,NaN,0.051415766449552,NaN
65,NaN,5.33451509403137,NaN,0.0401513391940935
70,0.000130377221816445,NaN,0.00783021248529887,NaN
85,NaN,6.38057834429684,0.00172175893109693,0.000795891635435851
90,0.000121307237877092,NaN,NaN,NaN
100,0.000270315473859441,6.41338050358433,0.00157886464294842,0.000161622393454199
150,0.000355347077324508,7.53611103062486,0.00289452898157546,0.00215095261406665
200,NaN,5.6532881008578,NaN,NaN
250,NaN,6.63648488457714,NaN,NaN
300,NaN,7.84172497801393,NaN,NaN
