t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000875673455490372,7.34719581026243,0.0103566077224687,0.0125419270006743
9,NaN,21.2799266895888,NaN,NaN
10,NaN,NaN,NaN,0.0635754999300337
15,0.0387595791475879,NaN,0.419991384709287,NaN
20,NaN,16.4612332532831,NaN,NaN
25,NaN,NaN,NaN,0.470385768259599
30,0.0158222808752118,15.5491609420784,0.992265684566636,NaN
35,NaN,NaN,NaN,0.689648491398179
40,NaN,10.0233236435957,NaN,NaN
45,0.000223885410128095,NaN,0.291255053647992,NaN
50,NaN,NaN,NaN,0.31649107577597
55,NaN,5.77786595761604,NaN,NaN
65,9.50244923790657e-05,NaN,0.0313091159247561,0.071246380067571
70,NaN,5.91657569229957,NaN,NaN
85,0.000162905348776297,4.59036564444478,0.0019874652058511,0.00333960565128663
100,0.00031185048974718,6.68536394870446,0.00210718956745356,0.000377096491657553
150,0.000414425030542782,7.6754572629576,0.00264948674583498,0.0015756993165872
200,0.00054942901218702,NaN,NaN,NaN
