t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.00097677890023031,6.02041519834281,0.0190105853958299,0.0161687945078321
10,NaN,NaN,0.19592601554579,0.112545259086242
15,0.0387883042582219,21.9473540592658,NaN,NaN
20,NaN,NaN,0.530049540700533,NaN
25,NaN,NaN,NaN,0.803456964804033
30,NaN,13.2407672562999,0.452377421054427,NaN
35,0.0173436794945155,NaN,NaN,0.829936791652266
45,NaN,NaN,0.321793673447898,NaN
50,0.00358791365530213,11.6510710343604,NaN,0.340220300683804
60,NaN,NaN,0.0749213189094032,NaN
65,NaN,5.85646353514522,NaN,0.0661210816252215
70,0.00521167518074446,NaN,NaN,NaN
75,NaN,NaN,0.0292192327277802,NaN
85,NaN,12.3086476027056,NaN,0.0322496320977615
95,0.00789025448409152,NaN,NaN,NaN
100,0.00945709749075167,16.0958931942785,0.14699698330205,0.161130759239312
150,0.000145651922460647,5.20527277277309,NaN,0.0276437872814061
200,0.000277294356887553,4.04891470207942,NaN,NaN
250,0.000623884661303454,8.13307661502902,NaN,NaN
300,NaN,4.51838031680696,NaN,NaN
