t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000885406167886787,8.57496571729951,0.0109301025457229,0.0114485889530278
9.5,NaN,28.2197082345482,NaN,0.0990810974099839
10,NaN,NaN,0.295060478901738,NaN
15,0.000998565547334331,NaN,NaN,NaN
20,NaN,13.9303662656432,0.854062506059081,0.617535429898267
25,0.000631930588930752,NaN,NaN,NaN
30,NaN,11.6671509477406,0.555780004034439,0.620208797143435
40,0.000168780697571125,5.07988297344967,NaN,0.281609228442806
45,NaN,NaN,0.15829361406064,NaN
55,9.90718456651198e-05,5.88325729609717,NaN,0.111409395350251
60,NaN,NaN,0.0115818640925908,NaN
70,NaN,5.24633133903992,NaN,0.00687437033267215
75,0.00013774361889924,NaN,0.00226331034106309,NaN
85,NaN,5.24652783618942,NaN,NaN
90,NaN,NaN,0.00107875060446578,0.000131554150496986
95,0.00018466026310648,NaN,NaN,NaN
100,0.0002107076034151,5.01250725801453,0.00174563965856915,0.000265370845731758
150,0.000365738482586734,5.95877324647004,0.00306719722023565,NaN
