t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000909797640414122,9.10855478712639,0.0166171329295251,0.0160145309739571
10,NaN,NaN,0.343524992128815,0.0783391903604556
15,0.0721723288492449,22.0299735878067,NaN,NaN
25,NaN,NaN,0.861471855138978,0.842866089261039
30,0.000330880223276441,13.0944062515152,NaN,NaN
40,NaN,NaN,0.344748578329008,0.476248707907238
45,9.21592249828854e-05,6.59135469449497,NaN,NaN
55,NaN,NaN,0.0529320575302725,0.125192427939095
60,NaN,4.63894085595892,NaN,NaN
65,7.49288091039937e-05,NaN,NaN,NaN
70,NaN,NaN,0.00426288266144741,NaN
75,NaN,NaN,NaN,0.00431159415361277
80,NaN,6.7666228234527,NaN,NaN
85,0.000168728299726064,NaN,NaN,NaN
90,NaN,NaN,0.00124786332328921,NaN
95,NaN,NaN,NaN,0.00021313997600886
100,0.000307287556040102,8.46667494916881,0.0015751169482166,0.000154977595884096
150,0.000312224458718038,8.02773820157176,0.00296024571979346,0.00163407382846326
200,0.000520026703938907,7.2964431242755,NaN,NaN
250,NaN,5.87828422289593,NaN,NaN
300,NaN,7.75761971585066,NaN,NaN
