t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
60,0,0.0043741070003756,3.12257550645545e-05
60,0.0005,0.00421599630584944,4.38341205958021e-05
60,0.005,0.0029394144627995,2.50305259043617e-05
60,0.05,0.0033867518689725,3.59499471063913e-05
60,0.5,0.0104333131493853,7.0614698179082e-05
60,5,0.0400575794383631,0.00104509122756849
60,50,0.0780021058726532,0.00498877431618254
60,100,0.0801520344833681,0.00584654415339973
60,200,0.116809224428539,0.0073657350912584
60,500,0.0871764992245189,0.00682090205256902
