t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.00072523182068575,7.65953381221621,0.0115159626013603,0.0131796318131659
9.5,NaN,NaN,0.227093798122019,0.0729115553082845
10,0.0560975381341476,17.7923553039126,NaN,NaN
20,NaN,NaN,0.797362409148198,0.644244902759441
25,0.000413891713908334,13.7899526484741,NaN,NaN
30,NaN,NaN,0.573566928906504,0.911033732082613
35,0.000437273752064417,9.83878074439972,NaN,NaN
40,NaN,NaN,0.294234254403534,NaN
45,NaN,NaN,NaN,0.316617606935172
50,8.21306979375596e-05,4.71199537154343,NaN,NaN
55,NaN,NaN,0.0366767948341604,0.0771776165498983
65,NaN,5.57537447569996,0.00596340859830332,NaN
70,0.00012670113513772,NaN,NaN,0.00751798221780135
85,NaN,5.73445269485844,0.000964467736868241,NaN
90,0.000250829171940671,NaN,NaN,0.000381922831372301
100,0.000230564067811402,5.13231238835778,0.00144573201463131,0.000357802094699185
150,0.000393319129328688,12.2887589258603,0.00373629448316368,0.00196171002166647
