t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.708930888710351,0.000813430519967239,0.00324216291737161,25.4110679424949,7.14060328030186,0.019551738143897,0.0132963197825502,0.0157679930636901,0.0169134204864607,0.000457719664725115,0.124054866898653
8,NaN,NaN,NaN,2.85805420343586,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,20.5534722573813,NaN,0.099068972070256,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.581758570472434,NaN,NaN,NaN,NaN,0.109662012205548
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0370111905031394,0.0233325914706999,0.000677910887171885,NaN
15,0.261059630963771,0.0468459319528098,0.131565972068858,3.0694175474265,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,10.3826021332077,0.918435375122019,0.7099708939474,0.464155306013845,NaN,NaN,1.24148527241154
25,NaN,0.0406123561141196,0.130142670339841,5.72476837902198,18.7391828780236,NaN,0.741245142539085,NaN,0.528848257276465,0.0271784147995826,NaN
30,0.227476006585881,NaN,NaN,NaN,NaN,0.588426817793357,NaN,NaN,NaN,NaN,4.78183599325294
35,NaN,NaN,NaN,12.3044894937394,NaN,NaN,NaN,0.689192146534953,0.658048888643572,NaN,NaN
40,NaN,0.00925140687526943,0.0744830407864479,NaN,8.57772785306944,0.233898930753149,0.536570380663037,NaN,NaN,0.0315737352209644,7.02366519063285
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.424125669484838,NaN,NaN,NaN
50,0.0377307895558158,NaN,NaN,14.6905240647788,8.01137212411009,NaN,0.223131775593102,NaN,0.372982096400501,NaN,NaN
55,NaN,0.0046236881568047,NaN,NaN,NaN,0.0426786129402347,NaN,NaN,NaN,0.0226531855021625,4.61473883056112
60,NaN,NaN,0.0171661432743441,18.7474549947936,NaN,NaN,NaN,0.115629828918963,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,6.16579442286706,NaN,0.0486123227950194,NaN,NaN,NaN,NaN
70,0.037483351443722,NaN,NaN,NaN,NaN,0.0195723377111995,NaN,NaN,0.0622568048215718,NaN,1.2723612391156
75,NaN,0.00464143512118655,NaN,13.6631415215432,NaN,NaN,NaN,0.0357218298731848,NaN,0.00316734489374048,NaN
80,NaN,NaN,0.0233915652961004,NaN,NaN,NaN,0.0298657053802377,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,12.2654896975219,NaN,NaN,NaN,NaN,NaN,NaN
90,0.0749246381183036,NaN,NaN,NaN,NaN,0.138967193861918,NaN,NaN,0.0405255101330705,NaN,0.344275691797999
95,NaN,0.00945444177134168,NaN,13.8873991191208,NaN,NaN,NaN,0.0814202018385763,NaN,0.0018299412888325,NaN
100,0.0624134622998807,0.00930926015221684,0.0367112095634819,9.4570049042492,13.8654021532786,0.291315518311192,0.247534920182403,0.140149778585666,0.106339110736348,0.00354252045681404,0.56434371650945
150,0.041400259315964,0.00756104675621087,0.0353486267501143,NaN,NaN,NaN,NaN,0.120068594753839,0.136551307613729,0.00635019238330551,1.48348267905845
200,0.065998655070929,0.0130810745654938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,0.0575594702977331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
