t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000772281578227619,6.3594644707597,0.0141829390117079,0.0147709420927686
10,0.0310425879333341,13.8036005201175,NaN,0.039312598322777
15,NaN,NaN,0.227617190709399,NaN
20,NaN,19.5583392224444,NaN,NaN
25,0.00106829338254104,NaN,0.795525535831875,0.468730922932498
30,NaN,13.318459859963,NaN,NaN
35,0.000452814094154021,NaN,NaN,0.697778888579801
40,NaN,NaN,0.38513089218779,NaN
45,NaN,5.28272155064905,NaN,NaN
50,0.000163594820635612,NaN,NaN,0.183573700574476
60,NaN,5.88528981142935,0.0161927985721672,NaN
65,0.000184635310555163,NaN,NaN,0.0312847230770206
75,NaN,5.41734639308383,0.00237478783717788,NaN
85,0.000173392394482974,NaN,NaN,0.000846704532842667
100,0.000192994955331688,7.6497781761646,0.000862723555420079,0.000214835006537814
150,0.000503460864101506,NaN,0.0032599240192422,0.00227872842731794
