t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000748279544945018,8.14602722732138,0.0127489628887189,0.00888014906083165
7,NaN,13.9846442607096,NaN,NaN
10,0.0720087198413637,NaN,0.243025827949621,0.110812998720974
15,NaN,20.108260987185,NaN,NaN
20,NaN,18.1304364290384,NaN,0.452034634796364
25,0.0316332942495789,NaN,0.990641288541709,NaN
30,NaN,16.57646762724,NaN,NaN
35,NaN,NaN,0.692257760001834,0.655275953868431
40,0.00013168483703781,9.09407175613291,NaN,NaN
45,NaN,NaN,NaN,0.497668445638311
50,NaN,7.25948190987858,0.132734734586512,NaN
55,5.98803592219242e-05,NaN,NaN,NaN
60,NaN,4.90563583295921,NaN,NaN
65,NaN,NaN,0.016013449835871,0.034622992456793
70,9.26644565814445e-05,NaN,NaN,NaN
75,NaN,5.66087155212052,NaN,NaN
80,NaN,NaN,NaN,0.00321381466199532
85,NaN,NaN,0.00170398623937658,NaN
90,0.00011574207244004,6.01750300171854,NaN,NaN
100,0.000171493152282442,5.60855079616464,0.000977420939053263,0.000264396947988709
150,0.000356015804644691,NaN,0.00351013973164908,0.00131247299469688
