t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
2300,0.1,0.00349524265227644,0.000560886649119556
2300,0.1,0.00349631743993395,0.000624100033307613
2300,0.5,0.00774083139980149,0.00084335985933208
2300,0.5,0.0050954722761223,0.000695114971024086
2300,1,0.00773016750209899,0.00196643083424244
2300,1,0.00708644571739018,0.00109136231082891
2300,2.5,0.017935401363474,0.00262130911161745
2300,2.5,0.0164052401044629,0.00464258971477083
2300,5,0.0544867704185838,0.00711837679385154
2300,5,0.0366217902848595,0.00655746485550423
2300,10,0.00895798883612752,0.00179350162250371
2300,10,0.0151871952404338,0.00269217040487281
2300,25,0.0230046064538826,0.00489887153815334
2300,25,0.0356794089668411,0.005971870918435
2300,50,0.0222642908789449,0.0027261935574358
2300,50,0.0134621342528678,0.00222588867406452
2300,100,0.0260620245940489,0.00734042868021455
2300,100,0.0317037648779913,0.00743136315413562
2300,500,0.0641004696543507,0.00799226801890948
2300,500,0.0557286474660362,0.00817888893635352
