t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
43,0.1,0.00131000019436679,0.000244475200467267
43,0.1,0.00166414321685593,0.000309572358273345
43,0.5,0.00282609909879167,0.000379002047742626
43,0.5,0.00230557899057635,0.000374340593509774
43,1,0.00305526203808587,0.000546020059935654
43,1,0.00355270974051487,0.000539535310015637
43,2.5,0.0241558875059333,0.00682823192720962
43,2.5,0.0189290079034909,0.00621310139634845
43,5,0.0442775700004807,0.025974286995149
43,5,0.0338523892143556,0.0226340784572417
43,10,0.00992209075546118,0.000884491257549346
43,10,0.00617523054286818,0.000953777783356717
43,25,0.0295496150184467,0.0189076686065753
43,25,0.0319786914312088,0.0107955041212935
43,50,0.0121197017939274,0.00347827684850488
43,50,0.0113015652850667,0.00161037136460757
43,100,0.0465311592463961,0.0175514722623949
43,100,0.0422660691691602,0.0210943412608847
43,500,0.0483335831054822,0.0326593469807213
43,500,0.0394564917504787,0.0386232788060478
