t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.0403725818581246,-0.000885994513248667,0.00461905984137628,0.00963204626528194,22.4089297742914,0.00174746556145866,61.1376005188333,0.795733142915066,-12.6204476617859,16.8342449393022,-0.988984119782736,0.000204678212979205,3.06351849092115e-05,-0.000123129843201832,0.000501507927394303
4.5,NaN,NaN,NaN,0.828978808889383,NaN,NaN,NaN,NaN,NaN,26.5105598169939,NaN,NaN,NaN,NaN,NaN
5,0.887442509422149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,20.8726601990685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000963265080006655
6,NaN,0.240585760456762,NaN,NaN,NaN,NaN,NaN,NaN,-31.8194400659427,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,1.25885275572651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.66797371927782,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.152778001880813,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,1.06544713330355,NaN,NaN,NaN,NaN,NaN,25.5273640034064,NaN,0.00130695944469209,NaN,NaN,NaN
10,0.68082898297361,NaN,NaN,NaN,26.0108100715793,0.0458917385774218,21.4093056751415,NaN,1.26538041630254,NaN,NaN,NaN,0.00103961179057628,0.000403660659038908,4.33565015367349e-05
15,0.76251222736889,0.127940726858809,0.599599938847359,0.479675270454613,NaN,NaN,18.8918866023394,17.7224056844506,NaN,24.7260040165517,0.33025586066443,NaN,NaN,NaN,NaN
20,0.719254610580611,0.107194567224243,0.428801139077523,0.262075442585805,22.4389282188752,NaN,NaN,19.3845425830092,285.699908461108,135.042457126016,NaN,0.00355153025126383,0.00338237415156546,0.00324104129262575,0.00772172661803544
25,0.683601633166335,0.104393570680538,0.345781624487145,0.175638269190577,NaN,0.0761692426032598,26.369300349941,NaN,473.66599712411,279.325526904741,1.63302809889752,NaN,NaN,NaN,0.0118306004865998
30,NaN,NaN,NaN,NaN,23.4851122841671,NaN,30.7846995510628,18.5389929067403,NaN,525.239492305365,NaN,0.00393530460215229,0.00404727661677231,NaN,NaN
35,0.570535509010819,0.0665198228524345,0.250048547347948,0.11728964164619,NaN,0.103357488722487,34.0640767291754,NaN,929.592173702327,NaN,5.21882823694171,NaN,NaN,0.00380823090837284,0.0255535798962976
40,0.603749318760943,NaN,NaN,NaN,NaN,NaN,NaN,14.2580794255765,1021.01583774422,907.845552336651,NaN,0.00333833497104271,NaN,NaN,NaN
45,NaN,0.0550660658347122,0.202105168082928,0.042369944212506,24.3642318307058,NaN,38.6367923162492,NaN,NaN,NaN,8.40237761370079,NaN,0.00319599530024587,0.00315188033096742,0.0386170792326523
50,0.553230323662539,NaN,NaN,NaN,NaN,0.102584032160913,NaN,11.3911669947381,NaN,1043.97884775436,NaN,NaN,NaN,NaN,NaN
55,NaN,0.0437906868030745,0.180030739617966,0.0225032815260594,25.6014190209773,NaN,44.664938983213,NaN,1032.27485686155,NaN,NaN,0.00243175933656857,0.00247862297371489,NaN,0.0447932852155273
60,0.531290423207747,NaN,NaN,NaN,NaN,NaN,NaN,9.12094439275976,NaN,991.472038573012,15.6400003714558,NaN,NaN,0.00246837202743863,NaN
65,NaN,0.039937141838617,NaN,0.0417796605020693,NaN,0.112240388124116,48.2800687315092,NaN,862.560617510324,NaN,NaN,0.00188889909980429,NaN,NaN,NaN
70,0.474141423754318,NaN,0.0961053485642221,NaN,23.99835817562,NaN,NaN,NaN,NaN,867.127789854628,20.5097161006154,NaN,0.00193968007445867,NaN,0.0556877672797654
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.75794928239791,NaN,NaN,NaN,NaN,NaN,0.00171662013008941,NaN
80,NaN,0.0358913591262247,0.128971784251119,NaN,NaN,0.114227305066885,48.5592807254813,NaN,643.357828161965,NaN,NaN,NaN,NaN,NaN,NaN
85,0.429690334384476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,724.555069571681,NaN,0.00137958844031428,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,22.9527299356685,NaN,NaN,NaN,NaN,NaN,24.3260110950481,NaN,0.00110069890993684,NaN,NaN
95,NaN,0.0354516447798657,NaN,NaN,NaN,NaN,59.2988714204117,5.64332835096084,NaN,NaN,NaN,NaN,NaN,0.00141485411417618,NaN
100,0.430976969447386,0.0347839409469669,0.13272255110311,NaN,25.489150341594,0.120266559053334,53.2062494920927,3.88734491716165,419.135940401003,502.084438147447,24.5531241210535,0.00108591157210316,0.00110642002096568,0.00115877157903151,NaN
150,NaN,NaN,NaN,NaN,23.6696692008833,0.117181014026195,NaN,4.43083616636168,NaN,NaN,21.6260574373299,0.000564512865628274,0.000527138326114581,0.000654038610954848,NaN
200,NaN,NaN,NaN,NaN,26.0446798471478,0.130752427749995,NaN,NaN,NaN,NaN,18.1991899135022,NaN,NaN,NaN,NaN
