t,npSTAT5_Obs,SOCS3RNA_Obs
0,0.0662238224842179,0.00173855721947842
6,11.8882109295489,NaN
9.5,NaN,-0.001409841531746
10,20.4107500640104,NaN
20,25.0718839155002,0.0149159656341397
25,24.5234577762459,NaN
30,NaN,0.03024488147312
35,21.7320253011264,NaN
40,19.6483303729179,0.0429238820906866
50,16.5504114067697,NaN
55,NaN,0.0636089344325193
60,14.8092896836882,NaN
65,NaN,0.0734103586102075
75,11.5805948504132,NaN
85,NaN,0.0823434078932156
90,8.5867756374556,NaN
100,8.14777529729583,0.081287859228147
150,7.65227343282574,0.0826012154623576
200,NaN,0.0815507493457389
