t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.00232664678444986,0.00160700447220341,0.00387225747198473,0.00646098511710907,97.0974052248955,0.00785856684226103,59.0832458144308,0.451638491065097,-8.04364689503831,15.4488251635711,0.559022728060929,0.000191602140991633,-0.000144906190820587,-0.000185881122516871,0.000510285060402842
4.5,NaN,NaN,NaN,0.500037432218667,NaN,NaN,NaN,NaN,-25.9800820628577,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7250501159696,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,0.741496665824523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00138796175133569
6,NaN,NaN,NaN,NaN,NaN,NaN,30.6422144483262,5.29342539452527,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.701753770977276,0.121236494131245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,0.191748929857678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.15965779493052,NaN,-0.288566587046424,0.00103175142244298,NaN,0.000320181508666633,NaN
10,NaN,NaN,0.339261136737612,NaN,100.969156295972,0.124541324016986,29.7585604421288,9.63062011181862,NaN,-18.9644696965074,NaN,NaN,0.000735481039639655,NaN,-0.000516695030293533
15,0.55722712517026,0.0575432296081655,0.233040625288349,0.0637317843701545,NaN,NaN,NaN,NaN,90.8324692094819,11.3173531512322,NaN,NaN,NaN,NaN,0.00260590308576317
20,0.497875053701712,0.0482136249352451,0.172599529908903,0.0496092943232886,97.9675698452787,0.175960232737924,33.5959484129662,13.6188463786635,216.663684493246,116.869408184727,-0.721109163584046,0.00273958628023989,NaN,0.00249514221983625,NaN
25,0.440560556761885,0.0372077314757068,NaN,0.0267086784570007,NaN,NaN,37.0559892110281,14.3194446263482,357.245445732241,238.04294243563,NaN,NaN,0.00292096679069005,NaN,0.0092253123844247
30,NaN,NaN,0.107948499895121,NaN,NaN,0.209520491769107,NaN,12.9521647911244,556.510104900781,NaN,1.88772307274948,0.00295045563648367,NaN,0.00289315532339533,0.0127070540381509
35,0.395394138640183,0.0268814637870461,0.102981947087927,0.0168718446631411,100.072158776813,NaN,43.4366071287031,NaN,NaN,575.214898835241,NaN,NaN,0.00279567140432253,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,46.754225873196,11.3170066104331,761.271198472315,694.260491669554,4.69221039556041,0.00268363861267922,NaN,0.00258041817658386,0.0239131434969931
45,0.329302142196361,0.0213116922394779,0.0759220582076841,0.0118349357795033,99.4045902235364,0.209579904232467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,49.0326816718343,9.05542487190694,754.369339843203,792.350832896996,8.79758816652608,NaN,0.00214272202827869,NaN,0.0308864837831314
55,0.354369997935634,0.019465733843968,0.0698046354887025,0.00597176015685996,NaN,0.217659746880705,NaN,NaN,NaN,NaN,NaN,0.00180295266221803,NaN,0.00201259324876158,NaN
60,NaN,NaN,NaN,NaN,100.442365891366,NaN,NaN,6.21092997451843,694.420611601161,756.825730788992,NaN,NaN,NaN,NaN,0.0380244991344536
65,NaN,0.0113485709656422,0.0481995957769747,NaN,NaN,NaN,47.6431602366901,NaN,NaN,NaN,13.9022548413032,NaN,0.00145558279888411,NaN,NaN
70,0.329253144706331,NaN,NaN,NaN,NaN,0.226661828783666,NaN,4.99627138701799,594.697314506035,NaN,NaN,0.00125133121410935,NaN,0.00143607520831878,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,572.235566929543,NaN,NaN,NaN,NaN,0.0413953632390477
80,NaN,0.0156938266784664,0.0570761810088824,NaN,102.101064644185,NaN,56.4387260098835,NaN,NaN,NaN,16.3600646942552,NaN,0.00104206621485395,NaN,NaN
85,0.278577575956811,NaN,NaN,NaN,NaN,0.245397177022029,NaN,3.72525335830979,NaN,NaN,NaN,NaN,NaN,0.000946099311020865,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,372.064076639269,421.149247464652,NaN,0.000884230622251491,NaN,NaN,NaN
95,NaN,NaN,0.0542050603405248,NaN,97.8832663180648,NaN,57.8178034154618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.257763830935521,0.0153319805560718,NaN,NaN,84.4959903507392,0.247405538615992,57.365676994828,3.31027702884277,286.047860693604,345.840673014047,17.7263659891482,0.000505213192843257,0.000730717279222916,0.00079502224626527,NaN
150,NaN,NaN,NaN,NaN,94.4682513917681,0.245437618909043,NaN,NaN,NaN,NaN,15.6035044523895,0.00059411245634237,0.000555612784151043,0.000552979851457702,NaN
200,NaN,NaN,NaN,NaN,96.9736549737538,0.254527214894736,NaN,NaN,NaN,NaN,13.0350159966883,NaN,0.000492292849663118,NaN,NaN
