t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.0249100580793967,-0.00153578318299404,23.9399665206821,0.00207900053250826,63.4686000112151,0.0495818124642098,8.25532231177458,-4.38455998631298,-4.04544659911564e-05,0.0010937489156109,0.168370398963146
5,NaN,NaN,23.3016144218737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1.35062759120303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.19391235128593,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,16.9693221339643,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,2.65110887491399,NaN,NaN,NaN,NaN,NaN
10,1.16849144882506,NaN,24.0661336138256,NaN,44.6932167202845,NaN,NaN,NaN,NaN,NaN,0.72324486158421
15,NaN,-0.00415323073599687,24.0026435917482,0.0607725940612377,NaN,NaN,NaN,41.4987752459339,0.000899361212009316,-0.000212871270303933,NaN
20,0.418988908043917,NaN,24.1070769394106,NaN,NaN,8.12042952229074,247.511289403692,NaN,NaN,NaN,0.609502317895371
25,0.302871261746679,NaN,NaN,NaN,41.3905121255322,NaN,NaN,155.468485413938,NaN,NaN,NaN
30,NaN,NaN,26.2885342553868,0.0928001681120615,NaN,10.7609366739985,452.557577671444,254.821323590539,0.00212875260588615,0.00648752760817624,NaN
35,0.165480125249512,0.0340105004417986,23.4853276920667,NaN,41.1183663693286,NaN,NaN,NaN,NaN,NaN,2.75786646260832
40,NaN,NaN,NaN,NaN,NaN,11.2992637827406,669.09723514205,451.203819836569,NaN,NaN,NaN
45,0.164109094289795,NaN,25.8024633448202,NaN,40.5209417728209,NaN,NaN,NaN,0.0021955492172258,0.0125596509138636,4.20990402914572
50,NaN,NaN,24.7598239729534,0.115378262020417,NaN,NaN,665.874493988066,602.073677697322,NaN,NaN,NaN
55,NaN,0.0699207985738223,NaN,NaN,NaN,9.04295490452009,NaN,NaN,NaN,NaN,NaN
60,0.0772691070020291,NaN,24.0995008715464,NaN,53.8649219545044,NaN,NaN,NaN,NaN,0.0268638364011949,6.03526434617379
65,NaN,NaN,NaN,0.121741854084063,NaN,NaN,645.237948230528,595.844030775576,0.00193307099630172,NaN,NaN
70,NaN,NaN,24.8373076930835,NaN,NaN,8.24789933214359,NaN,NaN,NaN,NaN,NaN
75,NaN,0.0993403326060842,NaN,NaN,50.6722327875341,NaN,NaN,590.199503975733,NaN,NaN,8.5874856877761
80,NaN,NaN,NaN,NaN,NaN,NaN,549.424629548181,NaN,NaN,0.0343317489409022,NaN
85,NaN,NaN,22.3623975579914,0.125599405043621,NaN,6.83322205907855,NaN,NaN,0.00140301436370669,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.27501950909528
95,NaN,0.107280758534644,NaN,NaN,52.2792078102278,NaN,399.899451895005,482.865341749774,NaN,NaN,NaN
100,NaN,0.116260136502678,24.8822298397099,0.126925242283172,51.6338515845474,5.46182650279452,370.973320999481,447.439830305708,0.00112117437302018,0.0407522218605005,9.90747329444523
150,NaN,0.120857457423531,NaN,0.123471187548012,53.6314714962239,4.0833332767115,236.528346020073,293.459016582863,0.000908705907633507,0.0471199996998127,11.0432411970576
200,NaN,0.128435836973189,NaN,0.13143302704613,51.9289088252079,4.19553338053844,218.129603985734,NaN,0.000819004281154656,0.0435074552741327,10.3442080892493
250,NaN,0.120374091817338,NaN,0.133791294855308,58.2001897333363,NaN,NaN,NaN,0.000850592889554612,0.0464658374996657,10.7386519840918
300,NaN,0.128418630349333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0406921065886054,10.8968490803709
