t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,-0.0109343435029446,0.00174600427450968,0.00629306266513207,-0.00481296626786306,109.907053415367,0.00784576699863704,64.0313838626148,-0.34177555567209,20.2412265095766,33.6500536834302,-0.858973343243084,3.18465512600396e-05,-1.963553064847e-05,-6.23792363407123e-05,-0.000870520423575334
4.5,NaN,NaN,NaN,0.495881559843527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.775665767349846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.79171046672352,8.52484963287132,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.43530510198019e-06
6.5,NaN,NaN,0.584834953142116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.21095585105394,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,27.9846933614075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.0950195776251274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,0.184311788234314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.157773921590911,NaN,NaN,0.000493348496865895,NaN
10,0.665766332730324,NaN,NaN,NaN,92.6418843813696,0.124411924838219,NaN,NaN,27.5962174552953,6.41090753058347,NaN,0.0011984380396845,0.000753878132720349,NaN,NaN
15,0.577195196249694,0.0616482657964195,0.228415318181299,0.0613696159852635,NaN,NaN,34.0823084379317,13.2385665975821,78.6863486231363,22.1225086087186,NaN,NaN,NaN,NaN,0.00192118121213468
20,0.538828384718012,NaN,0.173117004087867,0.0415011393124809,NaN,0.167645112630812,NaN,13.9215758509097,183.441951677339,109.053106490326,0.606981410373608,0.00274612528402566,0.00262862553067233,0.00231503631086987,0.00501212207249078
