t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.000342812635924583,0.00156471008108324,24.1948306833126,-0.00298471833846171,66.3600957442153,0.00689401702567432,-0.290565040343349,0.273165920313016,3.52890492503174e-08,-6.39150109116421e-05,291.654084673663
6,NaN,NaN,26.508187713061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.0205816920992839,0.0640108506767617,23.0922282338708,NaN,61.8341086213518,NaN,0.604345251128602,0.297103182557204,-8.34112946411796e-07,NaN,244.38811166678
15,NaN,NaN,NaN,0.0126478268922381,NaN,0.0574370920041993,NaN,NaN,NaN,NaN,NaN
20,0.0344183934777218,0.114553371105263,24.5662753217504,NaN,NaN,NaN,1.66894878454032,-0.0148000474995953,NaN,-6.10906437063801e-05,282.683310804068
25,NaN,NaN,24.659485150518,NaN,66.0384329553885,NaN,NaN,NaN,2.22711618377673e-05,NaN,NaN
30,NaN,0.0703533580752733,NaN,NaN,NaN,0.162902222701265,5.88449227109295,NaN,NaN,NaN,278.850877114713
35,0.0152360772418805,NaN,26.5124524855849,0.0268356329251194,NaN,NaN,NaN,5.10406421165719,NaN,NaN,NaN
40,NaN,NaN,26.3961675187176,NaN,63.694311218441,NaN,NaN,NaN,4.5270029367664e-05,0.000118565268430677,NaN
45,0.0106813398080357,0.0350996970322208,NaN,NaN,NaN,0.218512590240745,12.1643288110229,8.18869099272879,NaN,NaN,254.713003428197
50,NaN,NaN,24.9406353897449,NaN,62.1399227419818,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,0.0312334363340777,NaN,0.0325721324952987,NaN,NaN,14.2846072136598,NaN,4.4886972987536e-05,NaN,290.100052259539
60,0.00839699806619264,NaN,24.6030176526907,NaN,NaN,0.223307194523187,NaN,12.8488586274864,NaN,0.000506631014336843,NaN
65,NaN,NaN,NaN,NaN,62.7168719849139,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.0245888997342041,24.0315403229255,NaN,NaN,NaN,14.4093844029149,NaN,4.34854795302529e-05,NaN,231.574101757355
75,0.00837801194204747,NaN,NaN,0.0332659206423088,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.197505960090881,NaN,13.6803743554089,NaN,NaN,NaN
85,NaN,NaN,23.3877472987286,NaN,68.4088563342666,NaN,NaN,NaN,4.14242042405386e-05,0.00073739327545427,294.779817716971
90,0.00520637207137568,0.0200554812739633,NaN,NaN,NaN,NaN,12.2047614302782,NaN,NaN,NaN,NaN
100,0.00536969890817704,0.0168913204664301,22.7133432755627,0.0378780936421896,66.3300080732458,0.169280235314812,11.4410931948554,12.4292914468929,3.61253419260431e-05,0.000963847037779698,277.702405782287
150,0.00425394698700098,0.0155969745461892,NaN,0.0385205157325483,63.6503850679322,0.142578769963074,9.95394343321732,9.47480249692773,2.86960390569864e-05,0.00119674263855266,290.708595201909
200,NaN,NaN,NaN,0.038144474830839,57.9035372148962,0.125211069604267,8.4509219324835,8.82087379637555,2.52834877296475e-05,0.00120320885745329,278.836984022963
250,NaN,NaN,NaN,0.0408782561092169,63.0828052207903,0.13126897239578,NaN,NaN,2.67670221987287e-05,0.00130993405104685,NaN
300,NaN,NaN,NaN,0.0411873740388277,61.6386831422039,NaN,NaN,NaN,NaN,0.00136849121695539,NaN
