t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,7.81373938196395,0.0161821051239995,0.00155141682658952,0.000694989407917982,-0.00101672490743838,24.9015471157949,-0.00201969325611608,64.9530051768573,0.119015247214289,-11.9673535099949,-23.5214654916315,29.7305408023294,-31.848263029606,-45.831820512109,0.00424070141446822,0.372681513355436,4.08073064075976e-05,-9.24662758878705e-05,-2.61895404326311e-05,2.47082307623001e-05,0.00286789885933056,0.26516430402523
15,5.43464407615231,NaN,NaN,0.630642576882714,NaN,NaN,NaN,NaN,NaN,NaN,470.799248180364,208.553291967243,82.3833843761236,5.29082231354372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.264259179564217,25.3871381924632,NaN,NaN,19.0701780959534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.684487184505518,NaN,0.381444978129328,NaN,NaN,NaN,NaN,NaN,1144.70270399471,NaN,NaN,NaN,NaN,0.0490449193197381,0.778054612412643,NaN,NaN,NaN,NaN,NaN,NaN
30,6.03037152582213,NaN,0.0795816566031711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1098.34453422864,NaN,733.280240938458,510.737997177427,NaN,NaN,0.00396066516633203,0.00388342844478684,NaN,NaN,NaN,4.52686789081158
35,NaN,NaN,NaN,NaN,0.0816276976704159,NaN,NaN,34.9635098288354,NaN,NaN,NaN,1047.55622932168,NaN,NaN,NaN,NaN,NaN,NaN,0.00382049178895266,0.00393530487267224,0.0258659565654253,NaN
40,NaN,NaN,NaN,0.212410673151345,NaN,23.5184469683787,0.115584578378629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,7.07628252231429,0.515017230185233,NaN,NaN,NaN,NaN,NaN,NaN,13.5321772074092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,871.754381464876,1019.62663676838,1054.00570353547,1017.10508260689,1060.79488075888,0.176481484792013,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.152413116344847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8831622160068,NaN,NaN,NaN,NaN,NaN,10.6288855050203
60,6.48303068908445,NaN,0.0413112802774741,NaN,0.0354499522450489,24.1718489190454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00244060211741961,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.77240485307047,NaN,NaN,NaN,896.082021798901,883.55624535772,NaN,NaN,0.00205430983511262,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.050388849883,NaN,NaN,638.063407936711,733.534293370641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00200548791124975,NaN,NaN
75,6.91394916199964,0.470771979644481,NaN,0.149593635602544,NaN,NaN,0.114564697587457,NaN,NaN,496.439898266005,NaN,NaN,NaN,NaN,0.134552631622222,NaN,NaN,NaN,0.00172851230772409,NaN,0.0541354435737948,NaN
80,NaN,NaN,NaN,NaN,NaN,23.3093800197114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0224846957751585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520.296942509477,652.959260258689,NaN,22.9965222969501,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0348261226973062,NaN,NaN,NaN,NaN,NaN,5.5891404915502,NaN,426.256646605287,417.489650007868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2136415152817
95,6.7525025713192,NaN,NaN,0.135195945900864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00130012288050338,NaN,NaN,NaN,NaN
100,7.54532763245676,0.440159737592899,0.0393858102764694,0.124520765940127,0.0257693142741439,22.7998252071325,0.127160977191385,58.9491333011226,4.72762411301004,336.734282804847,315.872032835735,359.475902695042,385.967802406817,487.702465114426,0.077928147377012,26.247282163204,0.00105033186639613,NaN,0.0010697110660052,0.00117294810172366,0.057242785810273,14.6797020272167
150,7.20246647959659,0.447166427562089,0.0407539018633275,0.119549410884293,0.0262867534379504,23.4782773649064,0.11942697954055,58.901939133846,3.27151389583845,245.22453682145,236.619903119075,243.06869596189,249.847142194169,230.506946665813,0.0422679769790704,20.3922453202327,0.000749039162560486,0.000766544824260868,0.000744256710982805,0.000868230675288274,0.0599373765102544,13.678890172938
200,7.05081195519554,0.460093694398572,0.0338609761500621,0.130879927410891,NaN,22.4720241530525,0.127343657812306,58.437334797228,3.98947592020112,267.43552530277,219.255228208228,253.310334561864,263.571594864629,211.591824669465,0.041929768848966,18.3210598218205,0.000826311513939765,0.000727216621519996,0.000705883319790216,0.000738424100012521,0.0494779626953393,12.51133656569
250,6.99640356206756,0.447650966432297,0.0322374941216496,NaN,NaN,NaN,0.133463905566556,NaN,3.83140569537255,269.630845239991,240.89456988228,275.933124787988,225.744511606642,246.865673906543,0.0428806747305369,18.3398327144688,0.000776078089089761,0.000876647311328172,0.000806931938429362,0.000704960505658238,0.047198872235713,10.7755300410066
300,NaN,0.452445317319424,0.0405389363098662,NaN,NaN,NaN,NaN,58.1063026879964,4.11596424394452,277.504851134249,NaN,NaN,227.391769974189,NaN,NaN,15.1121589157425,0.000834339095856794,NaN,NaN,0.000823899941862617,NaN,11.1169553058049
350,NaN,0.445294421812021,NaN,NaN,NaN,NaN,0.125532021256542,NaN,4.21423267025749,238.985807492048,NaN,NaN,NaN,NaN,0.0439846920352476,NaN,NaN,0.000861677617447298,0.000806287946017501,0.000859119498016731,0.0455027373840098,10.2596999224149
400,NaN,NaN,0.0346279132526318,NaN,NaN,NaN,0.131044843093132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3454094305738,0.00084321480815544,0.000900583731451766,0.000858671330633787,NaN,0.0452180386338258,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,260.65666941463,NaN,NaN,NaN,NaN,NaN,15.4235391548291,NaN,NaN,NaN,0.000811148544537372,NaN,9.44695480758476
500,NaN,NaN,NaN,NaN,NaN,NaN,0.131854666047318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000857473131744115,0.00079867130752279,0.0457943779588886,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,257.171844064261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5112782321337
600,NaN,NaN,NaN,NaN,NaN,NaN,0.129630969971437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0438250956316781,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,0.133149167245474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
