t,epo_level,npSTAT5_Obs,SOCS3RNA_Obs
41,2.5e-09,1.7848948816575,0.00377044425218763
41,2.5e-09,2.11277337630771,0.00219603289089002
41,2.5e-09,2.28464731381391,0.00365286443658722
41,2.5e-08,7.27879379149423,0.0114542315623111
41,2.5e-08,8.42918173928269,0.0112880576033881
41,2.5e-08,8.61322557183845,0.0121125178504101
41,1.25e-07,14.1563732618753,0.0310986516620926
41,1.25e-07,15.3639986789851,0.0333725913039694
41,1.25e-07,15.6657955822648,0.0342820612804813
41,2.5e-07,16.2123665525058,0.0406093864483401
41,2.5e-07,16.9157479366535,0.038601651888944
41,2.5e-07,17.7208475848533,0.0386945866052756
41,1.25e-06,18.3264917893713,0.0471025886128203
41,1.25e-06,18.6031933952154,0.0486730331888708
41,1.25e-06,18.9773851559519,0.0456095598214487
41,2.5e-06,19.4483254718475,0.04914588664055
41,2.5e-06,20.2525220389777,0.0493419079551561
41,2.5e-06,20.8825871921382,0.0485307055365153
