t,Compound_1_Obs,Compound_2_Obs
0,4.06700025627289,4.20521649851984
9.5,NaN,4.62616726679781
20,3.70270468896348,5.67642137650239
30,NaN,6.13636405284376
40,3.56119421143525,6.122473655649
50,NaN,7.02907631714883
60,3.19630627391059,NaN
65,NaN,7.08226711528558
80,NaN,7.16002415141298
85,2.85351704085826,NaN
100,2.67116170315014,7.98315358097478
150,1.9425726482901,6.97851757357423
200,1.48973155631559,NaN
250,1.16348482761591,NaN
300,0.811067095663347,NaN
350,0.594619469927316,NaN
450,0.31224870813425,NaN
