t,RII_C_2_Obs,RIIp_2_Obs
0,0.278583562642298,0.444761287764643
5,NaN,0.480651926692696
10,NaN,0.475555199070214
15,0.300907498295848,0.530870536700003
20,NaN,0.639546278006369
30,0.277052578967988,0.466886308146132
35,NaN,0.454241344130258
45,0.208820721787345,0.471601040967368
55,NaN,0.332468884285229
65,0.273262839994013,0.474113782730556
75,NaN,0.3597110900403
85,0.294172011200418,NaN
100,0.246300176031187,NaN
150,0.259117510842729,NaN
200,0.291038935755361,NaN
250,0.313269803370987,NaN
300,0.296990754224721,NaN
