t,RII_C_2_Obs,RIIp_2_Obs
0,0.305665027567835,0.44048708726442
4.5,NaN,0.480330876751242
9.5,NaN,0.437244555968994
15,0.197614066811688,0.388598269424208
20,NaN,0.371521938304343
25,NaN,0.581658655277915
30,0.287735085702744,0.506591957661297
40,NaN,0.58092518295677
45,0.314487901890605,NaN
50,NaN,0.547574993549734
60,NaN,0.566861872743672
65,0.187917116020656,NaN
70,NaN,0.493005832324326
80,0.121100290815499,NaN
100,0.327074258380176,NaN
150,0.326747022939612,NaN
200,0.355409618686078,NaN
250,0.294722655761154,NaN
300,0.324801343544996,NaN
