t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,470.678236795042,952.859967338315,2410.45472646637
25,NaN,NaN,13988.9758745334
35,574.168738144643,674.210809458957,NaN
55,NaN,NaN,4620.25873380829
65,519.597082126598,582.718234677753,NaN
85,NaN,NaN,2627.42785826767
100,4137.85743087635,4065.82644132364,1320.17881200326
150,515.249400149766,675.852499315117,4442.90222074447
200,1654.43175353726,1641.58834937141,2534.20711282289
250,1459.7124365513,1451.24824061097,3585.03896153515
300,NaN,696.101627962497,5532.29774637858
350,3616.96218383671,NaN,900.579640850362
400,NaN,439.458982088988,3893.19790247514
