t,Rec_Obs,p_IL13_Rec_i_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,IL13_DecoyR_Obs,SOCS3_Obs
0,1.14963498032332,7.17645634349346e-05,0.0708102493608539,0,0.293690101475135,0,0
3,NaN,NaN,NaN,NaN,0.232648862978184,NaN,NaN
3.5,NaN,NaN,NaN,NaN,NaN,0.121166412535335,NaN
6,NaN,NaN,NaN,NaN,0.15909857349142,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,0.254816203303933,NaN
9,0.408319884887288,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.0837593857128984,NaN,NaN
10,NaN,0.0705387654215419,6.5125841614178,2.57300178463666,NaN,0.30637144851729,NaN
15,NaN,NaN,NaN,NaN,0.0272197517210493,0.383505075664027,3.24664188284377
20,0.514517366165321,0.0587006836766183,NaN,NaN,0.0121017770386672,0.29528148494613,NaN
25,NaN,NaN,22.0539494342571,25.0549481686528,0.0055053473616484,0.35914578210448,NaN
30,0.493622831268497,0.0844253139224128,NaN,NaN,0.00293334852605935,0.239964086722081,26.6557373940404
35,NaN,NaN,16.741292661968,52.3357880771194,NaN,NaN,NaN
40,0.358815576561391,NaN,NaN,NaN,0.000627360299191099,0.428695253561368,NaN
45,NaN,0.0716849644948571,NaN,NaN,0.000469138821307965,NaN,46.4743074887869
50,0.587378951680079,NaN,25.9063690621803,99.1550306754545,NaN,0.170613477340973,NaN
55,NaN,NaN,NaN,NaN,0.000146121860197515,NaN,NaN
60,NaN,0.09121866989091,NaN,192.687752686232,NaN,0.315536996833316,124.468262022571
65,0.434059707821939,NaN,20.758141581489,NaN,NaN,NaN,NaN
80,0.526425136570888,0.063087961441774,23.3052770669369,172.013196290936,NaN,NaN,141.053591437334
95,0.54281332344516,NaN,22.1712512869491,NaN,NaN,NaN,NaN
100,0.547880543307189,0.0779118573657894,25.3753091017931,286.692407705961,NaN,NaN,218.698104835494
150,0.36029683595239,NaN,22.330352829513,479.45724740121,NaN,NaN,225.230832525056
200,NaN,NaN,9.95552936945679,441.690645578124,NaN,NaN,215.253430747776
250,NaN,NaN,7.17196816306696,561.39827926501,NaN,NaN,277.459202300211
300,NaN,NaN,9.31090165531635,706.318809534289,NaN,NaN,377.882154394513
