t,Rec_Obs,pJAK2_Obs,pSTAT5_Obs,IL13_DecoyR_Obs,SOCS3_Obs,CD274mRNA_Obs
0,1.81356708808002,0,0.0109483360068768,0,0,0.0675795618342288
10,0.648689083512813,NaN,NaN,NaN,0.117204695498025,NaN
15,NaN,0.23707680482266,2.48933358504515,0.120325603352082,NaN,0.465291679984684
25,0.488786794171213,NaN,7.47954883644283,NaN,5.79182540439815,NaN
30,NaN,0.395687308192636,NaN,NaN,NaN,3.4095648664145
35,NaN,NaN,NaN,0.253259049068184,17.8142000630888,NaN
40,0.555195608714223,NaN,9.13297925152351,NaN,NaN,NaN
45,NaN,0.263652140041292,NaN,NaN,NaN,6.15545568608771
50,NaN,NaN,NaN,0.285000770587348,28.9971514314363,NaN
55,0.54556643524992,NaN,8.01483054503685,NaN,NaN,NaN
60,NaN,0.251961034853037,NaN,NaN,NaN,9.58018631350191
65,NaN,NaN,NaN,NaN,47.441318867134,NaN
70,0.518509231479076,NaN,9.9619286720557,NaN,NaN,NaN
75,NaN,0.248158224620522,NaN,0.311072493411558,NaN,NaN
80,NaN,NaN,NaN,NaN,66.3548522028126,14.9647528603022
90,0.332167772529199,NaN,9.41335929784497,NaN,NaN,NaN
95,NaN,0.162402209388217,NaN,0.435511759743041,NaN,NaN
100,0.551129443853345,0.139870811446751,9.60263650293744,0.336131536597594,132.007787445243,30.2926365527155
150,0.386640195766622,0.124555025196808,7.5978272883234,0.315863945999085,149.768758401044,34.256312453625
200,0.527709659890207,0.0899758811524165,3.33430146736724,0.362877148332987,111.633174674398,47.1618656776835
250,NaN,0.0578020681826676,3.63848014375805,0.337340074987534,202.944485481929,56.0144800448017
300,NaN,0.0429481108719249,2.35666010392036,0.37232902468207,202.254987036174,42.4159109695796
