t,p_IL13_Rec_i_Obs,pJAK2_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,DecoyR_Obs,SOCS3_Obs,CD274mRNA_Obs
0,0.000919836084297435,0,0.0834951093621353,0,0.30568367538433,0,0.107154435938316
3,NaN,NaN,NaN,NaN,0.0294414780671442,NaN,NaN
6,NaN,NaN,NaN,NaN,0.0093121529726245,NaN,NaN
7,0.311799616110612,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.000821549835339311,NaN,NaN
10,NaN,NaN,14.4767665307522,7.02233426657248,NaN,NaN,1.52987567395504
15,0.269432564167881,1.22758459070933,NaN,NaN,9.17898967912543e-05,8.56406056469004,NaN
20,0.242071511128191,NaN,NaN,NaN,7.18621466753848e-05,NaN,7.62949014283874
25,NaN,1.90691983634461,43.1763440277371,67.1462165943948,NaN,27.211790282086,NaN
30,0.214246294222353,NaN,NaN,NaN,0.000102064505711685,NaN,NaN
35,NaN,NaN,31.47004358431,NaN,NaN,NaN,24.9617042053026
40,0.238015040741563,1.64531348767696,NaN,158.146811593159,NaN,95.9045586317309,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,31.1606504362281
50,0.226606127101612,1.17545324911913,34.0158129451455,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,271.523461084488,NaN,146.802782566188,NaN
60,NaN,NaN,33.3333096246313,NaN,NaN,NaN,34.5866945369593
65,0.148109165895833,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.807681971410921,NaN,NaN,NaN,251.320598130078,66.008753571925
75,NaN,NaN,NaN,410.151026028193,NaN,NaN,NaN
80,0.211497285353734,NaN,29.5175792678403,NaN,NaN,NaN,NaN
85,NaN,0.854010452491433,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,291.406146464992,81.8380658439718
95,NaN,NaN,36.064841947967,484.9165603216,NaN,NaN,NaN
100,0.175825890574061,0.711175723250025,26.0046525202283,423.859054918221,NaN,178.684920741572,83.0203020983874
150,NaN,0.489146343554617,17.1739270968767,750.493252145992,NaN,279.107553980527,185.002567020364
200,NaN,0.307413733354085,17.7267910737598,1151.82441095583,NaN,380.858331194216,170.418403190941
250,NaN,0.215259044901352,11.1760393354785,NaN,NaN,340.913284880744,176.848315836347
300,NaN,0.234954134314597,11.2580694807304,NaN,NaN,358.358074533794,202.852354454004
