t,Rec_Obs,p_IL13_Rec_i_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,SOCS3_Obs,CD274mRNA_Obs,Rec_i_Obs
0,1.18669119735066,8.92799245771298e-18,1.01547994666004e-17,0,0,1.17645961886672e-17,120.530554884374
3,0.942391323922954,NaN,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,97.7360577213976
5.5,NaN,9.67645935220091e-18,1.20745334433126e-17,NaN,NaN,NaN,NaN
6.5,0.986881518360978,NaN,NaN,NaN,NaN,1.3478550974861e-17,NaN
7,NaN,NaN,NaN,0,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,109.809099589087
10,0.815768407512708,1.30780913113355e-17,1.02344185003623e-17,NaN,NaN,NaN,NaN
15,0.487785585558504,6.52597899571864e-18,NaN,0,0,7.32780840111336e-18,117.04848942598
20,0.406111971053172,NaN,9.22755441566457e-18,NaN,NaN,1.09261877477695e-17,129.205802922287
25,0.571301639210847,1.04565026850903e-17,1.03744206402971e-17,0,0,NaN,129.184520295932
30,0.61605592018663,7.50366836368185e-18,NaN,0,NaN,1.28922737478055e-17,148.4647976448
35,NaN,NaN,9.28292986538106e-18,NaN,0,NaN,NaN
40,NaN,1.14847433161136e-17,NaN,NaN,NaN,8.18480761204932e-18,117.679879512939
45,NaN,NaN,NaN,0,0,NaN,126.309526609798
55,NaN,NaN,NaN,NaN,NaN,NaN,84.5487919616007
65,NaN,NaN,NaN,NaN,NaN,NaN,111.886746388473
