timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.84830212570593,-0.91146454122457,-7.79170973574455e-05,9.21459943337013
35,-0.168900860914548,NaN,NaN,NaN
70,0.0909141402485103,NaN,NaN,NaN
100,0.0477755611042086,NaN,NaN,NaN
150,0.0360285815622102,NaN,NaN,NaN
200,0.359844393623707,NaN,NaN,NaN
250,-0.155061032028409,9.64052318488809,NaN,NaN
300,0.0151936437200944,NaN,NaN,NaN
350,NaN,NaN,NaN,8.95072017641005
400,0.000794420466053953,NaN,NaN,NaN
450,NaN,9.71988203881261,0.00476116925015663,NaN
700,NaN,9.03815748207361,NaN,NaN
750,NaN,NaN,NaN,9.60820644835323
900,NaN,NaN,0.0037966644272068,NaN
950,NaN,7.21993035354391,NaN,NaN
1000,NaN,8.6572927650909,NaN,8.93026111374984
1500,NaN,8.51206486035195,0.00365556050687042,7.65105604862896
2000,NaN,8.53015754990857,0.0025282104804785,9.48600630905436
2500,NaN,7.53082117037851,0.00240428760634554,8.26242231529944
3000,NaN,5.47977851469665,NaN,6.41379404975778
3500,NaN,6.17739434445709,0.00207182794502461,NaN
4000,NaN,8.12744161702549,0.00167566424983466,6.37292510432539
4500,NaN,7.10959758162285,NaN,NaN
5000,NaN,NaN,0.00152517299928723,7.33508357569253
5500,NaN,3.79375915657578,NaN,NaN
6000,NaN,5.484794628788,0.00126924540561694,5.86849039694766
7000,NaN,NaN,NaN,3.94517229670175
7500,NaN,NaN,0.00168940056946022,NaN
8500,NaN,NaN,NaN,5.11241342703643
