timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,11.1215662447266,-0.0786699152788088,0.0822599587169698,8.13879805967201
350,NaN,0.229854466550388,0.0515657167500005,NaN
400,9.61152222052295,NaN,NaN,NaN
450,NaN,NaN,NaN,10.5932123878346
700,NaN,NaN,0.0196741428016946,NaN
750,NaN,0.0407304541451495,NaN,NaN
800,10.4785074893937,NaN,NaN,NaN
900,NaN,NaN,NaN,11.1968632295373
1000,11.1402538037315,0.407129167095809,-0.0288929428057328,NaN
1500,8.15152221938047,0.472821571526194,0.0739382890900267,9.06554599971551
2000,8.73581727467935,0.734654015522057,0.314217198205065,10.7319269150418
2500,8.46257637801108,1.01899918697641,0.713189077011001,10.2882333370593
3000,NaN,1.0539331741327,0.876407014016741,7.63667262056764
3500,4.58449125408447,1.09219822389614,0.97549033033114,NaN
4000,2.79953539817924,NaN,0.848411452106547,5.7074235966841
4500,2.66786623328192,0.86158413306701,0.720136285286153,NaN
5000,NaN,0.584996343701016,NaN,3.91478134015671
5500,1.37901962262265,NaN,0.455459259278555,NaN
6000,NaN,0.434433157295108,NaN,1.67983535769706
6500,0.382396486628396,NaN,0.183921574193998,NaN
7000,NaN,NaN,NaN,2.46464740190189
7500,NaN,0.473742837603892,NaN,NaN
8000,0.304741311065964,NaN,NaN,NaN
8500,NaN,0.280532852715041,NaN,3.451893433435
