timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.97610554932051,-0.574657925593452,-0.000694621742768014,9.25785543810387
35,-0.0565464315994413,NaN,NaN,NaN
75,0.0395087033244044,NaN,NaN,NaN
100,0.0727369451397185,NaN,NaN,NaN
150,0.0161562201196547,NaN,NaN,NaN
200,-0.324621255199693,NaN,NaN,NaN
250,0.00218824900925876,NaN,NaN,NaN
350,0.100481027772285,8.43404506012641,NaN,NaN
400,-0.0430713745800242,NaN,0.00448904048957079,9.02641122090694
650,NaN,8.64878070281344,NaN,NaN
800,NaN,NaN,0.00417006834642614,10.8162462126775
1000,NaN,7.41263214827727,0.00367400431223804,10.1535911249283
1500,NaN,6.73860977574889,0.00360852247729269,9.92985034979483
2000,NaN,6.38461599152291,0.00334403229399406,6.09170814118516
2500,NaN,8.20409940861563,NaN,8.36923722646842
3000,NaN,5.91756025590937,0.00208824984517698,NaN
3500,NaN,8.32883746663472,0.00241389695318522,7.42077474972254
4000,NaN,NaN,0.00223826544223889,5.94909990732192
4500,NaN,5.67643871850575,NaN,NaN
5000,NaN,NaN,0.00115546288278042,7.4087104803429
5500,NaN,5.24762383669532,NaN,NaN
6000,NaN,NaN,0.0011347636843284,5.04974820883869
6500,NaN,4.10634719550173,NaN,NaN
7000,NaN,NaN,0.000929579267859884,4.43875304155392
8500,NaN,NaN,NaN,4.31578573287066
