timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.88233204260267,0.00192294131744366,0.0563704308544495,10.4093272199187
350,NaN,NaN,-0.0403426117058032,NaN
400,9.3653857098537,NaN,NaN,9.98185636520291
450,NaN,0.0991633767856851,NaN,NaN
700,NaN,NaN,-0.0362397738966035,NaN
800,8.87599579797523,NaN,NaN,11.5380784130743
900,NaN,0.406906708948781,NaN,NaN
1000,NaN,NaN,0.00340819578615707,11.1177744870144
1500,8.12084305596353,1.24310505394635,0.654263738025224,9.90361699039549
2000,5.63909694165665,1.2417041264387,1.05853508102611,9.34618978851764
2500,NaN,1.00870115747239,1.10587049776339,NaN
3000,3.2759719320355,0.877250871504579,0.769579827376679,5.17539905421165
3500,1.67603353564484,NaN,0.800103218187896,4.06005253677043
4000,1.71627292072112,0.693061471562578,0.500292563238948,4.61126191475992
5000,0.494781085611687,0.534745223330587,0.273642983679507,2.73260143713079
6000,0.216648675394469,0.295212858884839,0.232917348847907,1.49283311736027
7000,-0.507727272379147,0.139660070281331,0.0971991914861649,1.50246528343156
8500,-0.704896921754158,0.0822671759760064,NaN,1.2341507649372
