timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,10.5410429619061,-0.208522332843036,-0.0148806327997456,11.0353818457636
150,10.0507785285284,NaN,NaN,NaN
350,8.45276007401823,NaN,NaN,NaN
400,NaN,NaN,-0.0411163739233942,9.62569362345451
450,NaN,1.58833362478012,NaN,NaN
550,6.57729883819627,NaN,NaN,NaN
750,4.91835350568279,NaN,NaN,NaN
800,NaN,NaN,0.197762670669748,11.2352636738479
900,NaN,6.16066936746694,NaN,NaN
1000,3.40190749686245,NaN,0.523303943091847,10.7804241372429
1500,1.2623819067942,7.91180586196504,1.1935498989757,8.3104409227526
2000,NaN,7.04903173145794,1.15129948409213,7.79804342953951
2500,NaN,5.42897001797343,NaN,6.49277684182202
3000,NaN,5.37577110310132,0.747650398473788,NaN
3500,NaN,NaN,0.621661207610241,4.11065730564475
4000,NaN,3.46845871980447,NaN,5.33443715530337
4500,NaN,NaN,0.341617730071073,NaN
5000,NaN,3.05905614302465,0.204803633047262,4.64222528987749
6000,NaN,2.68785015603907,NaN,4.59178322827421
6500,NaN,NaN,0.223049735284036,NaN
7000,NaN,2.19813627308856,NaN,3.65759507035716
7500,NaN,NaN,0.0453083435597038,NaN
8500,NaN,1.85070168547418,NaN,2.88931327847315
