timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,10.7829200018854,-0.00742772523464424,0.0525903172451244,11.0268131691878
300,NaN,NaN,-0.00119042586730986,NaN
400,NaN,0.147755992099523,NaN,NaN
450,10.3193832344702,NaN,NaN,12.0412980377701
650,NaN,NaN,0.0124830390636593,NaN
850,NaN,0.287535653240686,NaN,NaN
900,10.1503138763689,NaN,NaN,10.0804422907338
1000,NaN,NaN,0.176510870650366,NaN
1500,8.33358729982015,0.93669321801999,0.33408290348271,10.9788766693784
2000,6.01928009861644,1.1275611044823,0.758397196091073,10.8465424698703
2500,5.13914284522397,1.08156022202616,0.797753213025735,9.86731051769309
3000,5.10533743553199,0.881529456488573,NaN,6.22566140895477
3500,NaN,0.963324087251203,0.751976794868251,NaN
4000,2.82668213997699,NaN,0.51633981760955,4.65298363553554
4500,1.45134961228596,0.631062755510222,0.453407830459679,3.84029023776208
5500,NaN,0.448002758524165,0.284927142610524,NaN
6000,2.06116417169285,NaN,NaN,2.33243567281964
6500,NaN,NaN,0.206250710471339,NaN
7000,-0.350903879495825,0.43826647928118,NaN,1.94541149315904
8500,0.136695979418728,0.29127721483606,NaN,1.78158662105519
