timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.8839444100904,-1.00054319917553,-5.66826884624463e-05,10.7215199595706
35,0.0361082018724397,NaN,NaN,NaN
70,-0.0287365876448418,NaN,NaN,NaN
100,-0.18354092354183,NaN,NaN,NaN
150,-0.0361678881019037,NaN,NaN,NaN
200,0.268507484602081,NaN,NaN,NaN
250,-0.0156129683469046,9.39258823747176,NaN,NaN
300,0.0598869723800907,NaN,NaN,NaN
400,0.0280388101089578,NaN,0.00450784621146421,7.68903804621078
550,NaN,9.29580915949514,NaN,NaN
800,NaN,NaN,0.00404621080255101,10.0282105860619
850,NaN,9.55312761904454,NaN,NaN
1000,NaN,7.805025123728,0.00397584305109363,10.2427115589596
1500,NaN,8.93520376640259,0.0034012915185892,10.3693817050607
2000,NaN,6.17306215449307,0.00276182819184218,9.79817988140742
2500,NaN,8.06000675354025,0.00253994281908774,7.68506686197567
3000,NaN,6.50848289884926,NaN,NaN
3500,NaN,6.25594717431356,0.00203850481211722,8.66984152331188
4000,NaN,NaN,0.00212399598073498,6.11927969685445
4500,NaN,6.21994918339751,NaN,NaN
5000,NaN,6.51747856439746,0.00121993174652404,6.97027196563747
6000,NaN,4.93584204818357,0.00171286612179461,7.09117312134381
7000,NaN,4.63294419776749,0.00121254472195411,6.9826888548593
8500,NaN,NaN,NaN,5.75939528663022
