timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.47796256386783,-0.770136919617415,-0.049784862368123,9.89892075540827
250,8.76180043861895,NaN,NaN,NaN
350,NaN,NaN,0.0893267354709958,NaN
450,NaN,1.03729627859554,NaN,10.1137965440136
500,8.2951644425046,NaN,NaN,NaN
700,NaN,NaN,-0.000970957810283311,NaN
800,8.03806669433816,NaN,NaN,NaN
850,NaN,2.48937534963222,NaN,10.7985758584303
1000,7.71306594475103,NaN,0.178343880449896,NaN
1500,4.25356493413858,5.77672946573463,0.393496810302986,10.5490975153384
2000,-0.0340215973602969,7.35187253190692,0.765146471934551,8.21125445049946
2500,1.42023368206825,5.8189241889731,1.02345852526828,9.34885417705099
3000,-0.033634200917297,5.0617978202564,0.890169096737846,7.28375810608063
3500,-0.0439842245116034,NaN,NaN,NaN
4000,NaN,4.42769790176057,0.724982576284138,5.37074580917946
4500,NaN,3.22175022865991,NaN,6.80160529414867
5000,NaN,NaN,0.376893310006296,NaN
5500,NaN,NaN,NaN,5.29941036649394
6000,NaN,2.77604148798648,0.244294776123104,NaN
7000,NaN,2.88418799965192,0.155581247806946,3.43778881240885
8500,NaN,1.38335351537701,NaN,3.54570355454609
