timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.8523524532968,-0.537881830989545,-0.0075664007459868,10.9580611872728
250,8.85717860898934,NaN,NaN,NaN
350,NaN,NaN,0.0253542154482453,NaN
400,NaN,0.870235099410617,NaN,NaN
450,8.24404641257853,NaN,NaN,12.3882626302216
700,8.40999450102997,NaN,NaN,NaN
750,NaN,1.49949233914517,0.00991521563894297,NaN
900,NaN,NaN,NaN,10.4261154056322
950,6.36926567105656,NaN,NaN,NaN
1000,5.8161347693172,2.78872634974074,0.152642892579672,NaN
1500,4.19102327251613,4.81869305460192,0.529421552974043,9.50765826507556
2000,1.8736555375984,6.6229906581629,0.961540664172056,8.47120328741237
2500,0.231641611422653,7.0630235958354,1.14000064902259,9.13998580895104
3000,0.326329341124452,NaN,1.00766176815567,6.6428536479542
3500,-0.414301857037613,4.77092416398553,NaN,NaN
4000,NaN,4.18352796394798,0.68708996658229,6.00778040311332
4500,-1.19625300160816,NaN,0.46093806934743,5.22726753650507
5000,NaN,3.01864468944658,NaN,NaN
5500,NaN,NaN,0.260318806020543,NaN
6000,NaN,2.78674962358332,NaN,3.89578431203343
7000,NaN,2.18382284817416,0.233095350171639,2.55842289937363
8500,NaN,1.77350631333065,NaN,3.77346337852731
