timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.14547560479749,-0.100787455509123,0.0571316303194254,10.2018375054264
150,8.80226184871688,NaN,NaN,NaN
300,9.67297816763901,NaN,NaN,NaN
350,NaN,1.26914505968438,NaN,NaN
400,NaN,NaN,NaN,10.8258877099969
450,8.84738774986231,NaN,-0.025490909876699,NaN
600,7.04095725861814,NaN,NaN,NaN
700,NaN,3.15851054334191,NaN,NaN
800,5.10585990004157,NaN,NaN,11.9484987291472
900,NaN,NaN,0.324432690754185,NaN
1000,2.80908380611266,6.38001025525646,NaN,9.46472582715562
1500,0.348637410425638,7.28290641702168,1.05585041544928,9.65464193393776
2000,0.265706821913719,6.2079267594239,1.15147151212187,7.43501472919694
2500,-0.542961608171138,4.9950784264651,0.930883283313333,7.77166902383891
3000,NaN,5.31293697716882,0.746852330196347,NaN
3500,NaN,3.14435682031055,NaN,5.93322596288692
4000,NaN,NaN,0.524403325585835,3.43964150687034
4500,NaN,3.1913527412768,0.461291445579536,NaN
5000,NaN,3.6061014595313,NaN,3.46304000621523
6000,NaN,NaN,0.204508262381543,3.88756422777082
6500,NaN,2.19551409477874,NaN,NaN
7000,NaN,NaN,0.0922192986729742,3.70942791449686
7500,NaN,2.24580779259359,NaN,NaN
8500,NaN,NaN,0.135783261018194,3.39556322860523
