timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,10.9874973056407,-0.014307335735764,-0.0342163886441684,9.24025943182006
400,NaN,NaN,0.0556367686349007,NaN
450,9.29734450741646,-0.0366741588368183,NaN,10.9168108430724
850,NaN,0.122371025149415,0.030006332353542,NaN
900,9.7003855715335,NaN,NaN,8.61165632909037
1500,8.61804737928438,0.653745415711403,0.131943015234005,10.3941276073175
2000,7.04724421745478,0.762453571338574,0.381909489203692,8.95949438451202
2500,7.47567458830415,0.877743382806408,0.684118092006596,8.15213477372689
3000,5.88761489977641,0.970820327756836,0.872006401853811,7.06933003345971
3500,NaN,NaN,0.857438823177032,NaN
4000,3.62172935896739,0.931872893882584,NaN,6.90562344027099
4500,3.35470175788323,0.819494848890904,0.586371080157726,NaN
5000,NaN,NaN,NaN,3.15698321927983
5500,2.3415871433791,0.825605670746782,0.365764408802508,NaN
6000,NaN,NaN,NaN,1.57056035544871
6500,NaN,NaN,0.261927256529518,NaN
7000,1.55012265404448,0.361577764883368,NaN,1.48049870011402
8500,2.36608954335045,0.272329605969349,NaN,2.07290750759024
