timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,10.1295250275957,-0.202988689939063,-0.00608985024913589,9.87140419067764
90,10.1036480286724,NaN,NaN,NaN
200,10.7221541267409,NaN,NaN,NaN
300,8.09505096500069,NaN,NaN,NaN
400,8.64918838043768,1.85705776261552,NaN,9.37568143204072
500,5.63255174439171,NaN,0.00283537426286493,NaN
600,4.14286461341391,NaN,NaN,NaN
750,2.92289676319111,NaN,NaN,NaN
850,NaN,8.05272188496067,NaN,11.106042081068
950,-0.315623095481497,NaN,NaN,NaN
1000,1.23036266032035,NaN,0.79658050819225,NaN
1500,-1.08774948906675,7.22359305897665,1.33905296475934,8.82827809763019
2000,0.789484189734937,5.63769394624794,1.17604777043269,7.22477184841135
2500,NaN,5.2749367500891,NaN,6.98193889360757
3000,NaN,3.732660345368,0.677580503262527,6.87931637037108
3500,NaN,4.34114813483231,0.470999528071558,NaN
4000,NaN,NaN,NaN,5.95668196533738
4500,NaN,2.82050724760283,0.384766793245514,4.91571271120793
5500,NaN,2.32326935913954,0.223297552271066,3.49678412662892
7000,NaN,1.60899300952945,0.190254244242055,4.87080022598408
8500,NaN,1.67324686036544,0.0791564999821323,3.78040454212486
