timepoint,Glu_Obs,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,9.99188712845169,1.14249416987229,-0.000122569708366264,9.2302303933593
35,-0.0911351809056774,NaN,NaN,NaN
75,-0.134640218312822,NaN,NaN,NaN
100,-0.0569376344986675,NaN,NaN,NaN
150,0.123890109964248,NaN,NaN,NaN
200,0.0293577849334215,NaN,NaN,NaN
250,-0.133683058826335,NaN,NaN,NaN
300,NaN,8.93503845079478,NaN,NaN
350,-0.142841761567218,NaN,NaN,NaN
400,NaN,NaN,0.00453274060615188,NaN
450,-0.166648306816731,NaN,NaN,10.7432732812082
550,NaN,9.45379188033936,NaN,NaN
800,NaN,NaN,0.004000573932737,NaN
850,NaN,10.0930849947577,NaN,9.25599801178454
1000,NaN,7.94851290235199,0.00354009903379178,NaN
1500,NaN,7.40009277737015,0.00335713077077737,8.78460276358603
2000,NaN,6.02299083470469,0.00272682162072466,8.91061691635942
2500,NaN,6.89518294549073,NaN,9.6450490118854
3000,NaN,NaN,0.00251343028043217,6.92083535879569
3500,NaN,7.23961958161257,0.0023248227519573,NaN
4000,NaN,5.67041297982963,NaN,6.50039217522394
4500,NaN,3.6436162649584,0.00129070234877182,8.87899759389013
5500,NaN,7.04536304805201,0.00173035760176997,NaN
6000,NaN,NaN,NaN,5.8250201811332
6500,NaN,5.18278094406166,0.00104949701025841,NaN
7000,NaN,NaN,NaN,4.46868690177348
8500,NaN,NaN,NaN,4.03298171052771
