t,STAT_Obs,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT5_Obs
0,1.08461133966405,-0.00816183924651829,-0.0218943456529053,-0.0464612217951306,0.00408724046448589
4,NaN,0.133160274714208,NaN,NaN,NaN
4.5,NaN,NaN,0.103589814691823,0.0577100649787275,NaN
6,NaN,NaN,NaN,NaN,-0.00170736962854966
8.5,NaN,0.154146956435925,NaN,NaN,NaN
9,NaN,NaN,0.34582200794442,0.279131941474647,NaN
9.5,0.0837673549794105,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,0.24275276098933
15,NaN,0.136977669074085,0.313856747836854,0.283498576784258,NaN
20,-0.132286462239206,0.127206504114141,0.291277691904777,0.247127275066301,0.264153653439991
25,NaN,0.124404354710979,0.295994680655214,0.314359952502864,0.234641397597061
30,0.12758450852907,0.110623631811145,0.281553446033083,0.204149500018474,NaN
35,NaN,NaN,0.232339454047235,NaN,0.273851218236328
40,0.364269486066114,0.0661277715228293,NaN,0.231639228277502,NaN
45,NaN,NaN,0.0969483660826467,0.114449754929432,0.115160607024992
50,0.757764891080916,NaN,NaN,NaN,NaN
55,NaN,NaN,0.0482838964046091,0.0397738424892213,0.113815792838795
65,0.973050483165724,NaN,0.0499827685671717,NaN,0.048356823783984
70,NaN,NaN,NaN,0.0212890046151084,NaN
80,1.03261722882485,NaN,0.0257480388298983,0.00872549794306908,-0.047521895904184
95,1.16323096545033,NaN,NaN,NaN,NaN
100,0.926844764550574,NaN,NaN,NaN,-0.046611693391428
150,1.15380668368935,NaN,NaN,NaN,NaN
