t,K27me0K36me0_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me2K36me3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.00262000170151201,0.00657402099834757,0.0075361165130655,0.0454180287202887,0.0103796092614592,0.00411284077046404,0.0379309678070462,0.0266221654573185,0.0106129718690836,0.00626051150919445,0.00621602643673002,0.118942296001387,0.214757024613739,0.0385233329772863
0.3,9.59282218844828e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6,-5.29134408760598e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,-0.000109279279094656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,4.9482522856114e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.000140475648661837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,1.34140981645983e-06,NaN,NaN,0.0708731713567457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,4.29642066775351e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,0.00559302463057844,NaN,NaN,NaN,NaN,0.0921147254183951,NaN,NaN,NaN,0.00679503965960685,0.104466575136246,NaN,0.0527952754508657
4,NaN,NaN,NaN,NaN,0.00851390213270439,NaN,NaN,NaN,0.0145450795476336,NaN,NaN,NaN,0.17589033839937,NaN
4.5,NaN,NaN,0.00587156033799511,NaN,NaN,0.004568581128148,NaN,0.0463116154338982,NaN,0.0102418816883756,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.0653330135362307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,0.0425366346621414,NaN,NaN,NaN,0.00495271079203628,NaN,NaN,0.0940215784974525
7.5,NaN,0.00583433231206786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07958562344835,NaN,NaN
8,NaN,NaN,NaN,NaN,0.00887231713119513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.0656664422761814,NaN,NaN,NaN,NaN,0.0189140244336192,NaN,NaN,NaN,0.190781325037519,NaN
9,NaN,NaN,NaN,NaN,NaN,0.00423950963020851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.00563936542057519,NaN,NaN,NaN,NaN,0.0435705469677956,NaN,0.0110695769915417,NaN,NaN,NaN,NaN
10,NaN,0.00573614027420503,NaN,0.0534806303156127,0.00954336462538495,NaN,0.0520284915876458,NaN,NaN,NaN,0.0063904798118192,0.0804236629171264,NaN,0.0752327606768726
15,NaN,0.00713021771618014,0.00585782156596463,0.0535772933809291,0.012453372479888,0.00460831959761678,0.0837665141450472,0.0513552385866997,0.0112488762336987,0.0121970324166689,0.00407104957943247,0.0501032953907114,0.128934679622382,0.10951210571272
20,NaN,0.00305780825710701,0.00706019469650001,0.0486627647411711,0.0118304132927594,0.00485550921804686,0.0631480500005109,0.0666775266614168,0.0175586480114777,0.010874433954707,0.00610801199037447,0.0599022565137704,0.150060044384139,0.066340009513889
25,NaN,0.00613221804832842,NaN,0.0453699179754759,NaN,NaN,0.053023324702928,NaN,0.0172981622441634,NaN,0.00488898435192521,0.043726938782154,0.0556674810154004,0.0987381107041338
30,NaN,NaN,0.00772349046497545,0.0313163969722507,0.0101739608749708,0.00686877037157849,0.0934484839750911,0.0590227122081474,0.0272751807606676,0.0121767736968465,0.00638249164816709,NaN,0.0709457369991694,NaN
35,NaN,0.00534471200382972,0.00679928392368946,0.0363104738007173,0.0124135722878392,0.0064211569364018,NaN,0.0446580778354481,NaN,0.0111439507949331,0.00691631524574735,0.026076754479527,NaN,0.100768360901135
40,NaN,0.00574901038329244,NaN,NaN,0.0121609063513498,NaN,0.075176199257477,NaN,0.0274900817803857,NaN,NaN,0.0126807657990077,0.10554411887795,0.0748069585367244
45,NaN,NaN,NaN,0.0202415976836737,NaN,NaN,NaN,NaN,NaN,NaN,0.00616644221634147,NaN,NaN,NaN
50,NaN,0.00630460396766119,0.00543674079373868,NaN,0.00840465110980881,0.00882301553777698,0.0907851398303208,0.058303227094039,0.0121058442105535,0.0153770644472681,0.00414411199723382,0.00489861135767339,0.0409227991431311,0.0647208558514337
60,NaN,0.00468628499638792,0.0056190148029763,NaN,0.00924078859547173,0.00621776776732232,0.100090310761421,0.0459449945210884,0.023113339454916,0.0108561881954668,0.00661397327995819,0.0150902547259383,0.10673277338685,0.112620867922756
