timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0193088426366608,9.81998079256677,0,0
200,0.0324740757832886,NaN,NaN,NaN
350,0.0402047860071233,NaN,NaN,NaN
400,NaN,NaN,0.0518807150174075,0.00034255415029771
450,NaN,9.72402274749325,NaN,NaN
550,0.06381254010222,NaN,NaN,NaN
750,0.090353508770218,NaN,NaN,NaN
850,NaN,NaN,0.186644037863225,0.00660052098189883
900,NaN,7.99503973181151,NaN,NaN
950,0.14711737595142,NaN,NaN,NaN
1000,0.179970219704223,NaN,NaN,NaN
1500,0.323554480684291,9.80894040755632,0.688410880869122,0.103936526349187
2000,0.529262509701638,7.75291384254334,1.05659740977174,0.354519036191752
2500,0.604639473515097,7.59612214958797,1.1588282342313,0.512183322643656
3000,0.621932802691135,6.27826570788503,1.14664515372171,0.717578513646354
3500,0.627140145635051,NaN,NaN,0.609468901436777
4000,NaN,4.90086345251061,1.04516494170473,0.655821093723492
4500,NaN,NaN,0.985189850080213,NaN
5000,NaN,3.58199647891924,NaN,0.414656518694231
6000,NaN,2.68615848852737,0.90281252910668,0.350619222805596
7000,NaN,1.91215673734891,0.780393169205111,NaN
7500,NaN,NaN,NaN,0.22229246941135
8500,NaN,1.44236649446991,0.619837248382063,0.173228720998234
