timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0194115727312738,10.4989776255225,0,0
85,0.0299401697591301,NaN,NaN,NaN
95,NaN,9.43848045408531,NaN,NaN
200,0.0815395576390716,8.37462245178122,NaN,NaN
250,0.0867930500460188,NaN,NaN,NaN
300,NaN,8.86510324748247,NaN,NaN
350,0.142004813638897,NaN,NaN,NaN
400,NaN,NaN,NaN,0.0438397787109452
450,NaN,5.80281286118865,4.27316510855223,NaN
500,0.246029987428721,NaN,NaN,NaN
550,NaN,4.34460303674136,NaN,NaN
600,0.301062167499152,NaN,NaN,NaN
750,0.317343698627333,1.85624786389693,NaN,NaN
850,NaN,NaN,NaN,0.684711889722607
900,0.344891465847408,NaN,7.67985740949595,NaN
950,NaN,0.779477050663005,NaN,NaN
1000,0.313357398740867,NaN,NaN,NaN
1500,0.38687501961129,NaN,7.36705675768454,1.52804027010938
2000,NaN,NaN,5.14162851445043,NaN
2500,NaN,NaN,4.79091974995761,1.18147486502572
3000,NaN,NaN,5.15778689358921,0.902144217405266
3500,NaN,NaN,NaN,0.792211647778783
4000,NaN,NaN,3.61293951720744,0.597643663894266
4500,NaN,NaN,3.31441566974484,NaN
5000,NaN,NaN,NaN,0.437893734113423
6000,NaN,NaN,2.17802210700114,0.301529626788627
7000,NaN,NaN,2.35977666585024,0.226774220897363
8500,NaN,NaN,1.9352900359102,0.148244740505188
