timepoint,Bac_Obs,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.0163654363461348,9.85728085437403,0,0
150,0.0172223418042214,NaN,NaN,NaN
300,0.0239247246324015,NaN,NaN,NaN
400,NaN,9.99589108514265,0.0339068931432899,NaN
450,0.0379913988497418,NaN,NaN,0.000243794248646565
650,0.066720435535309,NaN,NaN,NaN
800,NaN,9.55924341932633,0.134593338631864,NaN
900,0.103132198693707,NaN,NaN,NaN
950,NaN,NaN,NaN,0.0058428251495113
1000,0.136686053402945,8.99190704055371,0.225870509032543,NaN
1500,0.296271511054489,8.83361365827297,0.606960759779007,0.068479159554395
2000,NaN,8.62725711604151,0.980560817512036,0.246357450926022
2500,NaN,8.01098055286849,1.30804489414908,0.432010183712921
3000,NaN,NaN,NaN,0.533647990415982
3500,NaN,5.88143590746241,1.01409230195851,NaN
4000,NaN,5.1844428566955,1.01107165678295,0.533797987650874
5000,NaN,4.33275214617525,0.786220544240198,0.434332956318678
6000,NaN,3.49852910605472,0.685657861098962,0.302640490649792
7000,NaN,2.57016107669336,0.787006161633192,0.262771154392565
8500,NaN,2.16488639763085,0.592092798764556,0.189716457638302
