t,EpoRJAK2_Obs,PTP_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs
0,5.27741267872432,15.7444144787956,-0.0208577298286548,4.93795854722424e-05,0.0357793898848296,0.0118763598289962,0.00887874844660895,5.58949837953564
10,5.07301108526992,NaN,NaN,NaN,NaN,NaN,NaN,5.77325661290135
15,NaN,18.5436877893674,0.189693732494232,NaN,0.0397294403228501,0.00951066753575693,NaN,NaN
20,6.49632158835585,NaN,NaN,0.000430234680617164,NaN,NaN,0.00952750000188472,4.78637165389063
25,NaN,NaN,0.248258104580303,NaN,NaN,NaN,NaN,NaN
30,4.70073726308657,NaN,NaN,NaN,0.0190370941842271,0.0110284910485826,NaN,5.32558706917179
35,NaN,19.7835619786352,NaN,0.00229259828673861,NaN,NaN,NaN,NaN
40,NaN,NaN,0.237399371266966,NaN,NaN,NaN,0.00880745658507553,NaN
45,4.65623053181655,NaN,NaN,NaN,0.0782279421713302,0.0123581721208006,NaN,5.13663233785786
55,NaN,17.3578403645063,NaN,0.00360235673946582,NaN,NaN,NaN,NaN
60,4.96027334774679,NaN,0.131244579185571,NaN,NaN,NaN,0.00968545792403621,4.56098513942938
65,NaN,NaN,NaN,NaN,0.101436907511296,0.0086726128172542,NaN,NaN
75,4.9772151249806,16.0469439414951,0.163297150001984,NaN,NaN,NaN,NaN,5.3731375172033
80,NaN,NaN,NaN,0.0029329408183905,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.219158203179277,0.008154025657126,0.00890033206344438,NaN
90,5.0152116260972,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,16.6327026285444,0.106464354675768,NaN,NaN,NaN,NaN,5.43541759447652
100,5.44468968021801,16.9986150202087,0.107106155661392,0.00237446191925764,0.22452904680916,0.0109617304904113,0.010532995566158,4.23898689391072
150,5.48736481424129,17.5484129744227,0.0714179711679979,0.00158254091180158,0.2398497839119,0.0118742530923549,0.00797167968930936,4.94591086305
200,NaN,23.2734762662573,0.0840244174809728,0.0016006459863979,0.250127028064379,0.0107210329477889,0.00903277148988375,NaN
250,NaN,16.7532948004394,NaN,0.00158549883392152,0.245048151439027,0.00959880337048616,0.00814516881609071,NaN
300,NaN,19.2684543147265,NaN,0.00121304914814038,0.287398398637634,NaN,0.0108401776991963,NaN
