t,EpoRpJAK2_Obs,PTP_Obs,STAT5_Obs,Compound_1_Obs
0,0.0026174469491804,19.0605843889327,45.1144917278347,4.99528285188234
4,NaN,19.6299138036831,NaN,NaN
8,NaN,18.3766025808364,NaN,NaN
10,NaN,17.9003802433584,NaN,4.11749223860333
15,0.122264820340954,18.1469379635902,NaN,NaN
20,NaN,17.5315854801342,25.4840636186683,4.67749525260677
30,NaN,16.4856703709077,NaN,4.5432869122831
35,0.123369470692361,17.7883846329667,28.9510860911023,NaN
45,NaN,17.4000746315508,NaN,4.66375939720841
50,0.114718661056001,NaN,NaN,NaN
55,NaN,18.5244913015894,29.0578643383046,4.6507362565198
70,0.10906075399959,NaN,NaN,4.47768679788592
80,NaN,NaN,28.7754297962151,NaN
85,NaN,NaN,NaN,4.47995630826396
90,0.103619951679168,NaN,NaN,NaN
100,0.105477663626843,NaN,30.7958783707151,4.86684485596023
150,0.10022174166043,NaN,37.1664105311884,4.7866803848407
200,0.097489664700728,NaN,35.0148326290451,4.70471630906748
250,0.0915843691690773,NaN,39.6091049543201,NaN
300,0.0916325589631668,NaN,38.1655637832779,NaN
350,NaN,NaN,38.2329480226313,NaN
