t,epo_level,PTP_Obs,Compound_1_Obs
16,2.5e-09,17.2979388652707,5.105950757672
16,2.5e-09,17.7243418803064,5.51170460603752
16,2.5e-09,19.3073511314975,4.68940447238466
16,7.905e-09,18.6130802721369,4.82077392537923
16,1.25e-08,22.3171731317354,4.47549957797919
16,1.75e-08,15.6306752190787,4.82190394621394
16,1.75e-08,19.1038648728648,4.91351185940205
16,1.75e-08,20.6615821308288,4.42541320817215
16,2.5e-08,14.4511328582604,5.21348499584995
16,3.95e-08,19.4911419668311,4.75641471589892
16,3.95e-08,19.6413927337498,4.96658830623169
16,3.95e-08,20.6237343698777,4.1582873120128
16,7.9e-08,16.3613098206497,3.64642596477255
16,7.9e-08,18.2431019212642,4.89176248795752
16,7.9e-08,18.50557751876,4.35374776917814
16,1.25e-07,17.7500656085556,4.8156835871692
16,1.7675e-07,13.5420834771851,4.65608033762019
16,2.5e-07,13.2574560868397,4.78408416932723
16,2.5e-07,16.6330980935158,4.67938435014771
16,2.5e-07,17.841042651184,3.83003612048231
16,7.905e-07,16.997085490763,5.33614915917636
16,7.905e-07,17.5559316110513,4.02756141072803
16,7.905e-07,21.4352913587808,4.45078544352093
16,2.5e-06,21.2880205758334,2.7365285511124
