t,PTP_Obs,CISHRNA_Obs,CIS_Obs,Compound_1_Obs
0,16.9886665504307,9.0670504931928e-05,0.0205628941125612,0.165929627582646
7.5,17.1331927405804,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0122528517760234
15,16.6944487656384,NaN,NaN,NaN
20,NaN,0.000105689456122385,0.0223316853639251,0.0259472991223639
25,15.5329885151462,NaN,NaN,NaN
35,17.047298344327,NaN,NaN,0.0348971922536175
40,NaN,0.000166436369808165,NaN,NaN
45,NaN,NaN,0.0193552010384019,0.0524897005741837
50,17.0823633552684,NaN,NaN,NaN
60,NaN,0.000187434999143562,NaN,0.0610956455375088
65,16.9982592950894,NaN,NaN,NaN
70,NaN,NaN,0.024283203524528,NaN
75,NaN,NaN,NaN,0.0562951858118487
80,18.6369628240846,NaN,NaN,NaN
85,NaN,0.000179644062968975,NaN,NaN
95,NaN,NaN,0.0238823240811272,0.0595271931588908
100,NaN,0.000177646586464955,NaN,0.0616399165194725
150,NaN,0.000176651704771831,0.0270697159884376,0.0694714945735011
200,NaN,0.000169939073268167,0.0293497037904766,0.0678358355920444
250,NaN,0.000167769032770657,NaN,NaN
300,NaN,0.000162290433035963,NaN,NaN
