t,EpoRJAK2_Obs,PTP_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs
0,5.74695343187727,20.0923239198161,0.116161227567256,-0.00317995256873914,-0.040797517126199,0.00951669326317946,0.0102343534799213,5.29444630600791
5,NaN,19.4622043798548,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.77548853148849
10,4.41707586006991,15.1739585351116,2.79971314853471,NaN,-0.110665795144374,NaN,NaN,NaN
15,NaN,17.8343256268445,NaN,0.00573996638989005,NaN,0.0140336219556264,0.0124423500890031,4.16688652927648
20,4.67382573139274,21.0991988588546,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,4.6715202751454,NaN,0.160124029219565,NaN,NaN,5.01709363745925
30,4.59521327133927,14.2552206832224,NaN,0.0250309341197175,NaN,0.0264357142224555,0.0241673199790761,NaN
35,NaN,19.9028336419647,3.38064400981652,NaN,0.400753621469894,NaN,NaN,5.94139321996976
45,3.80903217526771,21.04920085107,NaN,0.0601884306918128,NaN,0.0182261719172635,0.023757674339627,6.66059699534455
50,NaN,NaN,2.30180438662743,NaN,1.28791927026449,NaN,NaN,NaN
55,4.07887045089998,14.2558019011174,NaN,NaN,NaN,NaN,NaN,5.98189693992816
60,NaN,NaN,NaN,NaN,NaN,0.0195980444027816,0.0185221162539664,NaN
65,NaN,NaN,1.80745720618937,0.0495381628892729,2.09939804462452,NaN,NaN,5.30191463649729
70,5.25444695901433,19.8069373201227,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0126882795247974,0.0134078184371469,4.11168557786447
85,NaN,NaN,1.10762245409139,0.035798220778319,2.29089955065932,NaN,NaN,NaN
90,4.90666142551512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,4.16580625983451,NaN,1.02311198637807,0.0153346571154884,2.94638521610987,0.0146947964838246,0.0151962086812056,4.78349504507064
150,5.41215524695696,NaN,1.15387509559233,0.0158866623360638,3.09297809298932,0.0116611624681515,0.0104899440994975,5.28279561937968
200,NaN,NaN,0.722350837243727,0.0200810089876742,2.90247019358547,0.0158750320390684,0.00867527144672754,NaN
250,NaN,NaN,NaN,NaN,2.80444896762625,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,2.69616282441479,NaN,NaN,NaN
