t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,3.12695128729032,0.0066833444237701,0.000348752975327337,0.000345556234412467
15,NaN,NaN,NaN,0.000369640819230183
20,NaN,NaN,0.000385336727333059,NaN
25,NaN,0.443726084500695,NaN,NaN
30,NaN,NaN,NaN,0.000335516864536098
35,1.83677815527399,NaN,NaN,NaN
40,NaN,NaN,0.000320926135896508,NaN
50,NaN,NaN,NaN,0.000293976712502159
55,NaN,0.273305866068021,NaN,NaN
60,NaN,NaN,0.000326781515611805,NaN
65,2.32154324167634,NaN,NaN,NaN
70,NaN,NaN,NaN,0.000367702806017953
85,NaN,0.234534810358837,0.000339249693447205,NaN
90,NaN,NaN,NaN,0.000353912028829959
100,2.46193478236442,0.210486214845996,0.000317359207513969,0.000365198331858815
150,2.50808270565324,0.196782308085482,0.000317389475344205,0.000347234317088356
200,2.41072607062705,0.179395577846273,0.000348508529347665,0.000368786926816212
250,2.82088473451984,0.161759761152533,0.000350077790281016,NaN
300,2.29810888074936,0.167276410119046,NaN,NaN
350,2.56949920149574,0.160448654272942,NaN,NaN
400,2.51240594028737,0.158104100531715,NaN,NaN
500,2.41332955527558,0.167122106589336,NaN,NaN
600,2.51616938557379,NaN,NaN,NaN
