t,PTP_Obs,CISHRNA_Obs,CIS_Obs,Compound_1_Obs
0,65.9751266090535,-0.000176710812475178,0.0670836465151754,5.25850617404863
4.5,63.5800395200681,NaN,NaN,NaN
5,NaN,NaN,NaN,4.45322175930366
7.5,NaN,0.000465780668748001,NaN,NaN
9,71.2204871127709,NaN,NaN,NaN
10,NaN,NaN,-0.0384462745925101,4.21015841515544
15,66.0308040678536,0.000550978345573971,NaN,4.43405186340673
20,68.0582683759999,NaN,0.0178764408154362,4.40765478855265
25,65.0265825506468,0.00811642279122459,NaN,NaN
30,NaN,NaN,NaN,5.10891638622524
35,64.8904204528951,0.0165234786663475,0.228690413469603,5.10435429980431
40,69.4853065255051,NaN,NaN,NaN
45,NaN,0.0224760731163247,0.36386173736005,5.24604604766429
55,72.1461362978379,0.0224401612625083,NaN,4.5455718945218
60,NaN,NaN,0.649685164895235,NaN
70,NaN,0.0174751615794015,NaN,5.04066460523296
75,NaN,NaN,0.895795358609551,NaN
85,NaN,0.0144281706788413,NaN,5.03810221623518
95,NaN,NaN,1.14269491173337,NaN
100,NaN,0.0113269370919163,1.11782738764941,NaN
150,NaN,0.00788374536358681,1.34040242753874,NaN
200,NaN,NaN,1.29671505605892,NaN
