t,epo_level,CISHRNA_Obs,CIS_Obs
18,2.5e-09,0.0218604173241397,0.101259947678676
18,2.5e-09,0.0212851268916317,0.10607294237897
18,2.5e-09,0.0227125046444152,0.100730087737292
18,2.5e-08,0.00550061986769999,0.04487623407069
18,2.5e-08,0.00621489137838956,0.0470105554208054
18,2.5e-08,0.00397897392170854,0.0448265998656017
18,1.25e-07,0.0259017481883574,0.120366574641332
18,1.25e-07,0.0265219705572838,0.120411603442814
18,1.25e-07,0.0273934542114105,0.122693444195262
18,2.5e-07,0.00830174868245421,0.0606721220488551
18,2.5e-07,0.00799348220819663,0.0551535557631453
18,2.5e-07,0.00882173584187432,0.0528383095457754
18,1.25e-06,0.00157705198885398,0.0327981964705917
18,1.25e-06,0.000940047364305151,0.0271662600756984
18,1.25e-06,0.00163266809642214,0.0269693858011836
18,2.5e-06,0.00176206513870397,0.0199128170984975
18,2.5e-06,-0.000472509538156786,0.0306871935877487
18,2.5e-06,0.000764623319222766,0.0207305720253613
