t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,2.87877729625477,0.0114606862322582,0.000317961084761027,0.000407342204570551
20,NaN,NaN,0.000354799457976909,0.000376828874492639
30,1.37159208175224,0.44195048064674,NaN,NaN
45,NaN,NaN,0.00037305327730457,0.000307978401894609
60,NaN,0.351312411726376,NaN,NaN
65,1.9879906163865,NaN,NaN,NaN
70,NaN,NaN,0.000349990200062152,0.000348068417400437
95,NaN,0.328176105435487,NaN,0.000389308223505805
100,1.94255990180537,NaN,0.00038340788172162,NaN
150,2.28582302383545,0.265014283914715,0.00035962003317384,0.000353506711127402
200,2.27783949163365,0.205856215615855,NaN,NaN
250,2.28582812587466,0.260564145514197,NaN,NaN
300,2.36733515150011,0.230728997999234,NaN,NaN
350,2.39862576730945,NaN,NaN,NaN
400,2.30776332378292,0.219972315635648,NaN,NaN
450,NaN,0.218918728893747,NaN,NaN
500,2.25962720934702,NaN,NaN,NaN
550,NaN,0.23980109482641,NaN,NaN
600,2.41798244707991,NaN,NaN,NaN
