t,EpoRJAK2_Obs,EpoRpJAK2_Obs,PTP_Obs,STAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,4.48518773653158,-0.00253194889150006,18.6521878503222,35.3673533895559,-0.225374856874231,3.95938762508592e-05,-0.000391288094203727,0.710608558631507,0.0057756737786579,0.0105525111921222,0.0112393523278615,6.62685895308718,5.56050784143217
6,NaN,NaN,18.6201677527998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,3.63701432378238,NaN,18.4582204181679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,26.978541262301,NaN,NaN,NaN,NaN,0.0195250571039067,NaN,NaN,6.6745860389961,3.8352883338789
20,4.05408610129454,0.0911812611859424,15.3154334196787,NaN,4.84233086974941,NaN,NaN,NaN,NaN,0.0248345099920672,0.015631423351228,NaN,NaN
25,NaN,NaN,19.5746928060035,NaN,NaN,0.0253930027824802,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,4.96258611064898,NaN,18.8097969840012,45.1931260997218,NaN,NaN,NaN,0.466959283844254,0.0237155936476202,NaN,NaN,9.71758597052707,3.91262716941922
40,NaN,0.0976647339727032,NaN,NaN,3.52980549858453,NaN,0.049014066472402,NaN,NaN,NaN,NaN,NaN,NaN
45,4.14762205895153,NaN,16.2176174468088,NaN,NaN,NaN,NaN,NaN,NaN,0.0211785741971737,0.0270377609115813,NaN,NaN
50,NaN,NaN,NaN,38.0331464355694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.07516758672158
55,NaN,NaN,19.2477324535494,NaN,NaN,0.0133701518935052,NaN,NaN,0.0164340332746666,NaN,NaN,10.1213170600191,NaN
60,4.84401337688275,0.0983422922002544,NaN,NaN,2.03286873247387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,4.54743137342552,NaN,16.4017770666892,38.8774076182221,NaN,NaN,NaN,2.53175919278686,NaN,0.016527462972355,0.0166093529760416,NaN,5.38793622076635
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0134223291684685,NaN,NaN,11.3224424866265,NaN
80,NaN,0.093106713258036,NaN,NaN,NaN,NaN,0.0353334429374684,NaN,NaN,NaN,NaN,NaN,NaN
85,4.33140378374599,NaN,14.4219151476948,NaN,1.42340991802489,0.00629003158939568,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,43.7071621316794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147895560555516,NaN,NaN,4.24026628374496
100,3.54001767787054,0.0942771782391009,17.247425409492,33.7336088987009,1.17576078271166,0.0077039009741908,0.0226792943117787,2.78904597499782,0.0167403245531782,NaN,0.0138442532149806,8.78375971932692,4.33606214430028
150,5.37202100595795,0.0920389324175281,NaN,56.6349544918738,1.2578670271821,0.00552491364391896,NaN,2.51493848830712,0.0148383851859805,0.0104997619968985,0.0113874618949048,10.001484605104,2.89762593401789
200,4.84022639825079,0.0977601071631332,NaN,39.9979629117095,NaN,0.0062901899459489,0.0174256888026737,3.21774650760578,0.0140904238996354,0.0131188858636348,0.0120893010664171,NaN,4.30548766806199
250,5.16784178466356,0.109924345265745,NaN,33.3829497525587,NaN,0.00579366975677924,0.0150293461047808,3.3520142675812,0.00871151742334299,NaN,NaN,NaN,3.89005813352532
300,NaN,0.0755518286271064,NaN,44.9311828056566,NaN,0.00651309319642211,0.0143472734301978,2.92381492085351,0.0161661303411342,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,37.1207927198655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,0.00405466140959779,NaN,2.67244469376892,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.97406372016696,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.15719487716376,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.52645456697054,NaN,NaN,NaN,NaN,NaN
