t,epo_level,CISHRNA_Obs,CIS_Obs
6,2.5e-09,0.000146993732889912,0.0320894469873816
6,2.5e-09,0.000169695948751324,0.0315441789807893
6,2.5e-09,0.000209171653984844,0.0276660692866972
6,2.5e-08,0.000124445558148347,0.02552512139067
6,2.5e-08,0.000161685552644788,0.0311012099606411
6,2.5e-08,0.000172674713771757,0.0281301022288687
6,2.5e-07,0.000188062203351285,0.0302551983047291
6,2.5e-07,0.000192563355693247,0.0365492263982893
6,2.5e-07,0.000215615804038091,0.0266267593299209
6,2.5e-06,0.000215121377099832,0.0297893299678674
6,2.5e-06,0.000244258702853254,0.0324900212734221
6,2.5e-06,0.000254369669660376,0.0237271571213611
6,2.5e-05,0.00023153204780452,0.0268703156918108
6,2.5e-05,0.000278588915266789,0.0287509770076671
6,2.5e-05,0.000279467989447058,0.0248148945113816
