t,EpoRJAK2_Obs,PTP_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,1.51496659653688,1.24712294513385,0.000216839402972415,0.0217481051099645,0.000258122220256266,1.55221391036271
8,NaN,NaN,NaN,NaN,0.000368733125982197,NaN
9,NaN,1.14896861290729,NaN,NaN,NaN,NaN
15,0.249343624731752,NaN,NaN,NaN,0.000387941757287128,0.191852477377024
20,NaN,1.39760540281684,NaN,NaN,NaN,NaN
25,NaN,1.31649753157812,0.000600211052258071,0.0379080661043009,0.000404979463320132,0.288927516939312
30,0.166831155992096,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.000356369975007672,NaN
40,NaN,1.0249944748599,NaN,NaN,NaN,0.405528000655621
50,0.407034524747142,1.13818201423267,NaN,0.052794764930941,0.000370222787994773,NaN
55,NaN,NaN,0.0013064323593021,NaN,NaN,0.479357213944311
60,NaN,1.12518656481681,NaN,NaN,0.000382628843497515,NaN
70,0.495785339497137,NaN,NaN,NaN,NaN,0.597356932944463
75,NaN,1.67784061735478,NaN,0.0833317344387193,NaN,NaN
85,NaN,NaN,0.00129838588158969,NaN,NaN,NaN
90,0.434703658162305,1.04783907234965,NaN,NaN,NaN,0.487513564708864
100,0.465173091023571,1.1485931489754,0.00109903765573626,0.11466094029392,NaN,0.565213305628113
150,0.486522632054455,1.29069786267677,0.00118439940088997,0.106076418650839,NaN,0.59805495701815
200,0.644446051975791,NaN,0.000915118553031804,0.125584330323558,NaN,0.59909908706905
250,0.540702579630136,NaN,0.000734995800029431,NaN,NaN,0.713083646328254
300,NaN,NaN,0.000869844368580339,0.113641841109624,NaN,NaN
350,NaN,NaN,NaN,0.12218529601117,NaN,NaN
400,NaN,NaN,0.000384060030158524,0.133744398554644,NaN,NaN
