t,EpoRJAK2_Obs,EpoRpJAK2_Obs,PTP_Obs,STAT5_Obs,npSTAT5_Obs,Compound_1_Obs
0,4.82167281690466,0.0156200169921544,21.4692366951649,49.0804176127213,0.654780464124513,4.58322329079463
4.5,NaN,NaN,16.6148143929765,NaN,NaN,NaN
9,NaN,NaN,15.1445571066765,NaN,NaN,NaN
10,4.72484364776234,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,15.9136480619161,NaN,7.03165558221217,5.06771396517988
20,NaN,0.115213613948084,15.4071682053867,26.3835043153143,NaN,NaN
25,3.37741750083043,NaN,20.410497469296,NaN,NaN,4.59964484892086
30,NaN,NaN,NaN,NaN,6.43292859540742,NaN
35,NaN,NaN,14.3456977718126,26.8896405985288,NaN,NaN
40,3.96323408396659,0.113399970384886,17.3739533607629,NaN,NaN,4.71842712620562
50,NaN,NaN,21.3141106185763,NaN,4.70492197144988,NaN
55,4.71312263874454,NaN,NaN,37.1336219963954,NaN,4.7831757005197
60,NaN,0.119097898276219,NaN,NaN,NaN,NaN
70,4.42671831025103,NaN,NaN,NaN,4.08332926228061,NaN
75,NaN,NaN,NaN,35.9429345656174,NaN,4.43254106036976
80,NaN,0.103521486003574,NaN,NaN,NaN,NaN
90,3.75409663901178,NaN,NaN,NaN,2.8003364340126,3.68568664549081
100,4.11928595462195,0.0831987283749368,NaN,40.005975946675,3.76530160901601,6.44181816546852
150,4.98300761446602,0.123135614623585,NaN,32.2643279339232,2.75870842794002,4.61077721320545
200,5.55391436978999,0.0906413064907873,NaN,35.3996159205622,1.82507680087261,5.31718636016155
250,NaN,0.0801965382841945,NaN,32.0731240751225,1.51084013764293,NaN
300,NaN,0.120754581442613,NaN,38.0240084253435,1.23555466527836,NaN
350,NaN,0.105279382399424,NaN,41.8104414447729,NaN,NaN
