t,PTP_Obs,CISHRNA_Obs,CIS_Obs,Compound_1_Obs
0,16.4763160406782,0.000736069645586232,0.0215870165317436,5.28852674953454
4,17.8127445450546,NaN,NaN,NaN
6.5,NaN,NaN,NaN,3.90583385426224
7.5,NaN,0.000453050314421026,0.0510454564857253,NaN
8,17.8622216219278,NaN,NaN,NaN
15,17.3439349855254,0.0028043446657452,0.0415663274041447,4.61757995311929
20,18.6283967239216,NaN,NaN,4.60873376335715
25,17.4276642418944,0.0200620578659961,0.147592866689732,4.53064539565054
30,18.5938142742395,NaN,0.223637586633592,NaN
35,18.7198082788517,0.0448772855354006,NaN,4.68464639717642
40,NaN,NaN,0.815867097581499,NaN
45,18.5776660119846,0.0570603812199816,NaN,4.52701491002376
55,18.3141835892459,0.0553718837963462,1.47635416295409,4.60951939754399
65,NaN,NaN,1.92801244606694,NaN
70,NaN,0.0453021221116603,NaN,4.950738248182
80,NaN,NaN,2.41866292978485,NaN
85,NaN,0.0310495519884288,NaN,4.47140303574198
95,NaN,NaN,2.66028360519301,NaN
100,NaN,0.0253644833640548,2.74916391894423,4.68772346941875
150,NaN,0.0183549568831272,3.03584787677558,NaN
